Unnamed: 0,48. Simple Verbs,48.மூலக்ரியா பதா3ன்,मूलक्रिया पदान,ꢪꢹꢭꢒ꣄ꢬꢶꢫꢵ ꢦꢣꢵꢥ꣄
இரை (த்த்)  ,breath hard,ஹெம்பி,ह॑म्पि,ꢲꢾꢪ꣄ꢦꢶ
இலங்கு (இன்)  ,to be,ரா:,र्हा,ꢬꢴꢵ
இழ (ந்த்)  ,lose,ஜவள்ளே,जवळ्ळे,ꢙꢮꢳ꣄ꢳꢾ
இழி (த்த்)  ,get down,ஹுத்திர்,हुत्तिर,ꢲꢸꢡ꣄ꢡꢶꢬ꣄
இழு (த்த்)  ,pull,உட்சி/கி2ஞ்சி,"उट्चि, खिञ्चि","ꢆꢜ꣄ꢗꢶ, ꢓꢶꢛ꣄ꢗꢶ"
இழுகு (இன்)  ,be loose,தி4ல்லரா:,धिल्ल र्हा,ꢤꢶꢭ꣄ꢭ ꢬꢴꢵ
இழை (ந்த்)  ,have tender feeling,கொம்பு3ளாபா4வ் ஸெர ரா:,का॑म्बुलाभाव स॑र र्हा,ꢒꣁꢪ꣄ꢨꢸꢭꢵꢩꢵꢮ꣄ ꢱꢾꢬ ꢬꢴꢵ
இழை (த்த்)  ,to spin,தாத்கேர்,तात्केर,ꢡꢵꢡ꣄ꢒꢿꢬ꣄
இளக்கு (இன்)  ,melt,பள்டொகேர்,पळ्टा॑केर,ꢦꢳ꣄꣄ꢜꣁꢒꢿꢬ꣄
இளகு (இன்)  ,melt (int.),பள்டொஹோ,पळ्टा॑हो,ꢦꢳ꣄ꢜꣁꢲꣂ
இளி (த்த்)  ,grin,தா3த்தெ3க்காட்,दात्द॑क्काट,ꢣꢵꢡ꣄ꢣꢾꢒ꣄ꢒꢵꢜ꣄
இறு (த்த்)  ,filter,ஒட்சி,आ॑ट्चि,ꢏꢜ꣄ꢗꢶ
இறுக்கு (இன்)  ,tighten,இர்க்கி,इर्क्कि,ꢄꢬ꣄ꢒ꣄ꢒꢶ
இறுகு (இன்)  ,become hard,கெ4டி3போட்,घ॑डिपोट्,ꢕꢾꢞꢶ ꢦꣂꢜ꣄
இறுமா (ந்த்)  ,be proud of,கெ3ருவ்போட்,क॑रुव्पोट्,ꢒꢾꢬꢸꢮ꣄ ꢦꣂꢜ꣄
இற (ந்த்)  ,die,மோர்,मोर्,ꢪꣂꢬ꣄
இறக்கு (இன்)  ,get down (tr.),ஹுத்துராட்,हुत्तुराट्,ꢲꢹꢡ꣄ꢡꢸꢬꢵꢜ꣄
இறங்கு (இன்)  ,decend,ஹுத்திர்,हुत्तिर्,ꢲꢹꢡ꣄ꢡꢶꢬ꣄
இறை (ந்த்)  ,spread (intr.),பெர்ப்பி,प॑र्प्पि,ꢦꢾꢬ꣄ꢦ꣄ꢦꢶ
இறை (த்த்)  ,draw water,செந்தி3,स॑न्ति,ꢱꢾꢥ꣄ꢡꢶ
இறஞ்சு (இன்)  ,beg,கெஞ்ஜி,क॑ञ्जि,ꢒꢾꢛ꣄ꢙꢶ
இனி (த்த்)  ,be sweet,கு3ள்ளெ ரா:,गुळ्ळ॑ र्हा,ꢔꢸꢳ꣄ꢳꢾ ꢬꢴꢵ
ஈட்டு (இன்)  ,get,ஜொடு3ஞ்சி,जा॑डुञ्चि,ꢙꣁꢞꢸꢛ꣄ꢗꢶ
ஈன் (ற்)  ,give birth,ஜேன்,जेन्,ꢙꢿꢥ꣄
உக (ந்த்)  ,enjoy,ஸூக2ம்பொந்தி3,सुखम्पा॑न्दि,ꢱꢹꢓꢪ꣄ꢦꣁꢥ꣄ꢣꢶ
உகு (த்த்)  ,shed (tears),ரோட்/ தொ3ளாம் பனி ஸோட்,"रोट, दा॑ळाम्पनि सोट","ꢬꣂꢜ꣄, ꢣꣁꢳꢵꢪ꣄ ꢦꢥꢶ ꢱꣂꢜ꣄"
உச்சரி (த்த்)  ,pronounce,உச்சாரணொகேர்,उच्चारणा॑केर,ꢆꢗ꣄ꢗꢵꢬꢠꣁ ꢒꢿꢬ꣄
உசுப்பு (இன்)  ,wake up,ஹுடா3ட்,हुडाट,ꢲꢸꢞꢵꢜ꣄
உசாவு (இன்)  ,enquire,இவர்புஸிலே,इवर्पुसिले,ꢄꢮꢬ꣄ ꢦꢸꢱꢶꢭꢾ
உட்கார் (ந்த்)  ,sit,பீ3ஸ்,बीस्,ꢨꢷꢱ꣄
உடு (த்த்) / உடுத்து (இன்)  ,dress up,க4ல்லே/பி2ர்லே,"घल्ल॑, फिर्ल॑","ꢕꢭ꣄ꢭꢾ, ꢧꢶꢭ꣄ꢭꢾ"
உடை (ந்த்)  ,be broken (int.),பு2ட்டி ஜா,फुट्टि जा,ꢧꢸꢜ꣄ꢜꢶ ꢙꢵ
உடை (த்த்)  ,break (tr.),போ2ட்,फोट्,ꢧꣂꢜ꣄
உண் (ட்)  ,eat,கா2,खा,ꢓꢵ
உண்டாக்கு (இன்)  ,make,உருவ்கேர்/ உத்பத்திகேர்,"उरुव्केर्, उत्पत्तिकेर","ꢆꢬꢸꢮ꣄ ꢒꢿꢬ꣄, ꢆꢡ꣄ꢦꢡ꣄ꢡꢶ ꢒꢿꢬ꣄"
உலர் (த்து)  ,dry (tr.),ஸுக்காட்,सुक्काट्,ꢱꢹꢒ꣄ꢒꢵꢜ꣄
உலர் (ந்து)  ,dry (int.),ஸுக்கிஜா,सुक्कि जा,ꢱꢹꢒ꣄ꢒꢶ ꢙꢵ
உணர் (ந்த்)  ,feel (int.),உன்ளே/ஜன்லே,"उन्ळे, जन्ले","ꢆꢥ꣄ꢳꢾ, ꢙꢥ꣄ꢭꢾ"
உணர் (த்து),make to feel (tr.),உன்னாட்/ஜனாட்,"उन्नाट, जनाट","ꢆꢥ꣄ꢥꢵꢜ꣄, ꢙꢥꢵꢜ꣄"
