Unnamed: 0,48. Simple Verbs,48.மூலக்ரியா பதா3ன்,मूलक्रिया पदान,ꢪꢹꢭꢒ꣄ꢬꢶꢫꢵ ꢦꢣꢵꢥ꣄
சீவு,sharpen,மொனொ கேர்,मा॑ना॑ केर,ꢪꣁꢥꣁ ꢒꢿꢬ꣄
செருகு (இன்)  ,insert,துராட்,तुराट्,ꢡꢸꢬꢵꢜ꣄
செருமு (இன்)  ,calling attention by clearing throat,க4டி3  கொவ்ரி,घडि का॑व्रि,ꢕꢞꢶ ꢒꣁꢮ꣄ꢬꢶ
செல் (ன்ற்)  ,go,ஜா,जा,ꢙꢵ
செலுத்து (இன்)  ,drive,ஜவாட்/தொ3வ்டி3/த4மாட்,"जवाट, दा॑व्डि, धमाट","ꢙꢮꢵꢜ꣄, ꢣꣁꢮ꣄ꢞꢶ, ꢤꢪꢵꢜ꣄"
செழி (த்த்)  ,prosper,சுபி3ட்சுபொந்தி3,चुबिट्चुपा॓न्दि,ꢗꢸꢨꢶꢜ꣄ꢗꢸ ꢦꣁꢥ꣄ꢣꢶ
கேகரி (த்த்)  ,collect,செர்சி,च॑र्चि,ꢗꢾꢬ꣄ꢗꢶ
சேமி (த்த்)  ,save,உராவ்கேர்,उराव्केर्,ꢆꢬꢵꢮ꣄ ꢒꢿꢬ꣄
சேர் (ந்த்)  ,"join (int.), reach",ஜீசேர்,जीचेर्,ꢙꢷꢗꢿꢬ꣄
சேர் (த்த்)  ,"join (tr.), attach",செர்சி,च॑र्चि,ꢗꢾꢬ꣄ꢗꢶ
சேவி (த்த்)  ,worship,பாஇ~ம்போட்,पाइम्पोट,ꢦꢵꢄꢪ꣄ꢦꣁꢜ꣄
சொக்கு (இன்)  ,be attracted,மெங்கி3,म॑ङ्गि,ꢪꢾꢖ꣄ꢔꢶ
சொட்டு (இன்)  ,drop,பொ3ட்டுபோட்,बा॑ट्टुपोट्,ꢨꣁꢜ꣄ꢜꢸ ꢦꣂꢜ꣄
சொடக்கு (இன்)  ,crack the finger,சிடு3க்குதாய்,चिडुक्कु ताय्,ꢗꢶꢞꢸꢒ꣄ꢒꢸ ꢡꢵꢫ꣄
சொரி (ந்த்)  ,rain down (flowers),பூ2லு பொவ்ஸ்போட்,फूलुपा॑व्स्पोट,ꢧꢸꢭꢸ ꢦꣁꢮ꣄ꢱ꣄ꢦꣂꢜ꣄
சொருகு (இன்)  ,put in/insert,துராட்,तुराट्,ꢡꢸꢬꢵꢜ꣄
தடுமாறு (இன்)  ,be deranged,தெட்டுமுட்டி,त॑ट्टुमुट्टि,ꢡꢾꢜ꣄ꢜꢸ ꢪꢸꢜ꣄ꢜꢶ
தண்டி (த்த்)  ,punish,தெ3ண்ட3னொதே3,त॑ण्डना॓ दे,ꢡꢾꢠ꣄ꢞꢥꣁ ꢣꢿ
தணி (ந்த்)  ,reduce (int.),அண்சயி ரா:,अण्चयि र्हा,ꢂꢠ꣄ꢗꢫꢶ ꢬꢴꢵ
தணி (த்த்)  ,reduce (tr.),அண்சி,अण्चि,ꢂꢠ꣄ꢗꢶ
தத்தளி (த்த்)  ,struggle for life,தெத்தளிஞ்சி,त॑त्तळिञ्चि,ꢡꢾꢡ꣄ꢡꢳꢶꢛ꣄ꢗꢶ
ததும்பு (இன்)  ,overflow,தெல்கி,त॑ल्कि,ꢡꢾꢭ꣄ꢒꢶ
தப்பி (த்த்),Make one escape,தொபு3ஞ்சாட்,ता॑बुञ्चाट,ꢡꣁꢨꢸꢛ꣄ꢗꢵꢜ꣄
தப்பு (இன்)  ,escape,தொபி3ஞ்சி,ता॑बिञ्चि,ꢡꣁꢨꢸꢛ꣄ꢗꢶ
தயங்கு (இன்)  ,hesitate,பன்மல்கெ போட்/ பஸ்தொக்கி,"पन्मल्क॑ पोट, पस्ता॑क्कि","ꢦꢥ꣄ꢪꢭ꣄ꢒꢾ ꢦꣂꢜ꣄, ꢦꢱ꣄ꢡꣁꢒ꣄ꢒꢶ"
தரி (த்த்)  ,wear,க4ல்லே,घल्ले,ꢕꢭ꣄ꢭꢾ
தரிசி (த்த்),see (great person),த3ர்ஷணொகேர்,दर्षणा॑ केर,ꢣꢬ꣄ꢰꢠꣁ ꢒꢿꢬ꣄
தருக்கி(த்த்)  ,argue,விவாத்3கேர்,विवात्केर्,ꢮꢶꢮꢵꢡ꣄ ꢒꢿꢬ꣄
தருவி (த்த்)  ,fetch,பொ3வன்த4ட்டே3,बोवन्धट्डे,ꢨꣁꢮꢥ꣄ ꢤꢜ꣄ꢞꢾ
தள்ளு (இன்)  ,push,தொ3ப்3பி3,दा॑ब्बि,ꢣꣁꢨ꣄ꢨꢶ
தவழ் (ந்த்)  ,crawl,கொ4ணங்கொணாய்கேர்,घोणङ्कोणाय् केर,ꢕꣁꢠꢖ꣄ꢒꣁꢠꢵꢫ꣄ ꢒꢿꢬ꣄
தவறு (இன்)  ,fail,ஒட்3ஜா,आ॑ड्जा,ꢏꢞ꣄ꢙꢵ
தவி (த்த்)  ,be distressed,அல்லாட்,अल्लाट्,ꢂꢭ꣄ꢭꢵꢜ꣄
தவிர் (த்த்)  ,avoid,நீ:த்தொஹொவாட்,न्हीत्ता॑ हा॑वाट,ꢥꢴꢷꢡ꣄ꢡꣁ ꢲꣁꢮꢵꢜ꣄
தழுதழு (த்த்)  ,"stammer from joy, love, etc.",கொ3ளகொ3ளாட்,गा॑ळ्गा॓ळाट्,ꢔꣁꢳ ꢔꣁꢳꢵꢜ꣄
சொலி (த்த்)  ,"dazzle, glitter",ஜொலிஞ்சி,जा॑लिञ्चि,ꢙꣁꢭꢶꢛ꣄ꢗꢶ
சொறி (த்த்)  ,scratch,க2வ்ஜி,खव्जि,ꢓꢮ꣄ꢙꢶ
சோதி (த்த்)  ,test,பரீக்ஷொகேர்,परीक्षो केर्,ꢦꢬꢷꢒ꣄ꢰꣁ ꢒꢿꢬ꣄
சோபி (த்த்)  ,be good,சொக்கட் ஹோ,चा॓क्कट हो,ꢗꣁꢒ꣄ꢒꢜ꣄ ꢲꣁ
சோடி (த்த்)  ,arrange,ஸெந்தி,स॑न्ति,ꢱꢾꢥ꣄ꢡꢶ
சோர் (ந்த்)  ,become tired,ஶீன்லக3ய்லே,शीन्लकय्ले,ꢯꢷꢥ꣄ ꢭꢒꢫ꣄ꢭꢾ
தகர் (ந்த்)  ,collapse (int.),பு2ட்டி போட்/ த்4வம்ஶு ஹோ,"फुट्टि पोट, धवम्शु हो","ꢧꢸꢜ꣄ꢜꢶ ꢦꣂꢜ꣄, ꢤ꣄ꢮꢪ꣄ꢯꢸ ꢲꣂ"
தகர் (த்த்)  ,"demolish (tr,)",பொ2டி3தாய்,फा॑डिताय्,ꢩꣁꢞꢶꢡꢵꢫ꣄
தகி (த்த்)  ,sizzle,பொ4க3பொ4க3யி ரா:/ தபயி ரா:/,"भा॑ग भा॑गयि र्हा, तपयि र्हा","ꢩꣁꢔ ꢩꣁꢔꢫꢶ ꢬꢴꢵ, ꢡꢦꢫꢶ ꢬꢴꢵ"
தங்கு (இன்)  ,stay,ரீ:லே/ரெ:ய்லே/ ரா:,"र्हीले, र्ह॑य्ले, र्हा","ꢬꢴꢷꢭꢿ, ꢬꢴꢾꢫ꣄ꢭꢿ, ꢬꢴꢵ"
தட்டு (இன்)  ,knock,தெட்டி,त॑ट्टि,ꢡꢾꢜ꣄ꢜꢶ
தடவு (இன்)  ,smear,லாவ்,लाव्,ꢭꢵꢮ꣄
தடி (த்த்)  ,swell,பு2க்3கி3,फुग्गि,ꢧꢸꢔ꣄ꢔꢶ
தடு (த்த்)  ,obstruct,அவ்டொ3போட்/ஹிப்3பா3ட்3,अव्डा॑ पोट हिब्बाट,"ꢂꢮ꣄ꢞꣂꢦꣁꢜ꣄, ꢲꢶꢨ꣄ꢨꢵꢞ꣄"
தளும்பு (இன்)  ,overflow,தெல்கயி ஜா,त॑ल्कयि जा,ꢡꢾꢭ꣄ꢒꢫꢶ ꢙꢵ
தழுவு (இன்)  ,embrace,கபி3லே/ ஆலிங்க3னொ கேர்/ பொடலி ப4ந்தி3லே,"कबिले, आलिङ्गना॑ केर, पा॑टलि भन्दिले","ꢒꢨꢶꢭꢿ, ꢃꢭꢶꢖ꣄ꢔꢥꣁ ꢒꢿꢬ꣄, ꢦꣁꢜꢭꢶ ꢩꢥ꣄ꢣꢶꢭꢿ"
தழை (த்த்)  ,flourish,சுபி3ட்சுகன் ரா:,चुबिट्चुकन् र्हा,ꢗꢸꢨꢶꢜ꣄ꢗꢸꢒꢥ꣄ ꢬꢴꢵ
தள்ளு (இன்)  ,push,தொ3ப்3பி3,दा॑ब्बि,ꢣꣁꢨ꣄ꢨꢶ
தளதள (த்த்)  ,shine,ஜொலிஞ்சி,जा॑लिञ्चि,ꢙꣁꢭꢶꢛ꣄ꢗꢶ
தளர் (ந்த்)  ,get loose,தி4ல்லொபோட்,धिल्ला॓ पोट्,ꢤꢶꢭ꣄ꢭꣁ ꢦꣂꢜ꣄
தளர்த்து (இன்)  ,loosen,தி4ல்லொகேர்,धिल्ला॓ केर्,ꢤꢶꢭ꣄ꢭꣁ ꢒꢿꢬ꣄
தளிர் (த்த்)  ,sprout out,சிகுர்/முகுர்/அங்குர்,"चिकुर, मुकुर्, अङ्कुर","ꢗꢶꢒꢸꢥ꣄, ꢪꢸꢒꢸꢬ꣄, ꢂꢖ꣄ꢒꢸꢬ꣄ "
தறி (த்த்)  ,cut,செக்கி,च॑क्कि,ꢗꢾꢒ꣄ꢒꢶ
தனி (த்த்)  ,be alone,ஒண்டிகன்ரா:,आ॑ण्टिकन र्हा,ꢏꢠ꣄ꢜꢶꢒꢥ꣄ ꢬꢴꢵ
தா (ந்த்)  ,give,தே3,दे,ꢣꢿ
தாக்கு (இன்)  ,attack,ஹான்/கா4ம்தாய்/ஆக்ரமனொ கேர்,"हान्, घाम्ताय, आक्रमना॑ केर","ꢲꢵꢥ꣄, ꢕꢵꢪ꣄ ꢡꢵꢫ꣄, ꢃꢒ꣄ꢬꢪꢥꣁ ꢒꢿꢬ꣄"
தாங்கு (இன்)  ,bear,ஸவன்கெர்லே/ வஹிலே,"सवन्क॑र्ले, वहिले","ꢱꢮꢥ꣄ꢒꢾꢬ꣄ꢭꢿ, ꢮꢲꢶꢭꢾ"
தாண்டு (இன்)  ,cross,தா3ட்,दाट,ꢣꢵꢜ꣄
தாமசி (த்த்)  ,Wait,ர:க்கி/தமஸ் கேர்/ஸ்தி2ரொ கேர்,"र्हक्कि, तमस्केर, स्थिरा॓ केर","ꢬꢴꢒ꣄ꢒꢶ, ꢡꢪꢱ꣄ꢒꢿꢬ꣄, ꢱ꣄ꢢꢶꢬꣁ ꢒꢿꢬ꣄"
தாமதி (த்த்)  ,delay,தமஸ் கேர்,तमस्केर,ꢡꢪꢱ꣄ꢒꢿꢬ꣄
தாவு (இன்)  ,leap,உல்லங்கி3/ ஜா2ங்கி3,"उल्लङ्गि, झाङ्गि","ꢆꢭ꣄ꢭꢖ꣄ꢔꢶ, ꢚꢵꢖ꣄ꢔꢶ"
தாழ் (ந்த்)  ,become low,கா2ல் ஜா,खाल्जा,ꢓꢵꢭ꣄ꢙꢵ
தாழ்த்து (இன்)  ,lower,கா2ல்கேர்,खाल्केर्,ꢓꢵꢭ꣄ꢒꢿꢬ꣄
தாளி (த்த்)  ,seasoning,பொ2ண்ணி தே3,फा॑ण्णि दे,ꢧꣁꢠ꣄ꢠꢶ ꢣꢾ
திக்கு (இன்)  ,stammer,திக்கி வத்தொ கேர்,तिक्कि वत्ता॑ केर,ꢡꢶꢒ꣄ꢒꢶ ꢮꢡ꣄ꢡꣁ ꢒꢿꢬ꣄
திகழ் (ந்த்)  ,to become famous,க்2யாதி3 பொந்தி3 / கீர்தி பொந்தி3,"ख्यादि पा॑न्दि, कीर्ति पा॑न्दि","ꢓ꣄ꢫꢵꢣꢶ ꢦꣁꢥ꣄ꢣꢶ, ꢒꢷꢬ꣄ꢡꢶ ꢦꣁꢥ꣄ꢣꢶ"
திகை (த்த்)  ,stun,பெ3தி3ர்,ब॑दिर,ꢨꢾꢣꢶꢬ꣄
திட்டு (இன்)  ,scold,கா3ள்டே3,गाल्डे,ꢔꢵꢭ꣄ꢞꢾ
திடுக்கிடு (ட்)  ,Be astonished,பெ3தி3ர்,ब॑दिर,ꢨꢾꢣꢶꢬ꣄
திண்டாடு (இன்)  ,Be at a loss,அல்பொந்தி3,अल पा॑न्दि,ꢂꢭ ꣄ꢦꣁꢥ꣄ꢣꢶ
திணறு (இன்)  ,be choked,ஹுப்3ப3ஸ்,हुब्बस,ꢲꢸꢨ꣄ꢨꢱ꣄
திணி (த்த்)  ,stuff,திண்சி/பொ4ர்வி,"तिण्चि, भा॑र्वि","ꢡꢶꢠ꣄ꢗꢶ, ꢩꣁꢬ꣄ꢮꢶ"
தித்தி (த்த்)  ,be sweet,கு3ள்ளெ ஹோ,गुळ्ळ॑ हो,ꢔꢸꢳ꣄ꢳꢾ ꢲꢵꣂ
திருப்பு (இன்)  ,turn (tr.),பி2ர்வி,फिव्रि,ꢧꢶꢬ꣄ꢮꢶ
திரும்பு (இன்)  ,turn (int.),பீ2ர்,फीर,ꢧꢶꢬ꣄
தியானி (த்த்)  ,meditate,த்4யான் கேர்,ध्यान्केर्,ꢤ꣄ꢫꢥ꣄ ꢒꢿꢬ꣄꣄
திருக்கு (இன்)  ,turn (nut),பி2ர்வி,फिर्वि,ꢧꢶꢬ꣄ꢮꢶ
திருகு (இன்)  ,turn (nut),பி2ர்வி,फिर्वि,ꢧꢶꢬ꣄ꢮꢶ
திரட்டு (இன்)  ,collect,ஓக் கேர்/ ஜெதொ கேர்/ கு3ம்பி,"आ॑क केर, ज॑ता॑ केर, गुम्पि","ꢐꢒ꣄ ꢒꢿꢬ꣄, ꢙꢾꢡꣁ ꢒꢿꢬ꣄, ꢔꢸꢪ꣄ꢦꢶ"
திரி (த்த்)  ,twist,பீள்,पीळ्,ꢦꢷꢳ꣄
திருத்து (இன்)  ,correct (tr.),ஸெர்கொ கேர்,सेर्का॑ केर,ꢱꢾꢬ꣄ꢒꣁ ꢒꢿꢬ꣄
திருந்து (இன்)  ,correct (int.),ஸெர்கொ ஹோ,सेर्का॑ हो,ꢱꢾꢬ꣄ꢒꣁ ꢲꣂ
திளை (த்த்) ,to become very happy,ஸொம்பி/ஸந்துஷ்டி,"सा॑म्पि, सन्तुष्टि","ꢱꣁꢪ꣄ꢦꢶ, ꢱꢥ꣄ꢡꢸꢰ꣄ꢜꢶ"
திற (ந்த்)  ,open,ஹுகு3ட்3,हुगुड,ꢲꢸꢔꢸꢞ꣄
தின் (ற்)  ,eat tiffin,கா2,खा,ꢓꢵ
தீட்டு (இன்)  ,"paint, sharpen",சித்ரு கேர்,चित्रु केर,ꢗꢶꢡ꣄ꢬꢸ ꢒꢿꢬ꣄
தீண்டு (இன்)  ,touch,தே4ர்,धेर्,ꢤꢿꢬ꣄
தீய (த்த்)  ,burn,ஜளாட்,जलाट,ꢙꢭꢵꢜ꣄
தீர் (ந்த்)  ,finish (int.),திரயி ஜா,तिरयि जा,ꢡꢶꢬꢫꢶ ꢙꢵ
தீர் (த்த்)  ,finish (tr.),திர்சி,तिर्चि,ꢡꢶꢬ꣄ꢗꢶ
தீர்மானி (த்த்)  ,decide,திர்மான்கேர்,तिर्मान्केर्,ꢡꢶꢬ꣄ꢪꢵꢥ꣄ ꢒꢾꢬ꣄
தீற்று (இன்)  ,polish,மெர்புல் கேர்,म॑र्पुल केर,ꢪꢾꢬ꣄ꢦꢸꢭ꣄ ꢒꢿꢬ꣄
துஞ்சு (இன்)  ,sleep,நிஞ்ஜி/ ஹோங்கு3 அவட்3ளே,"निञ्जि, होङ्गु अवड्ळ॑","ꢥꢶꢛ꣄ꢗꢶ, ꢲꣁꢖ꣄ꢔꢸ ꢂꢮꢞ꣄ꢳꢿ"
துடக்கு (இன்)  ,begin (tr.),ஹரும்ப3ம்கேர்,हरुम्बम्केर्,ꢲꢬꢸꢪ꣄ꢨꢪ꣄ꢒꢾꢬ꣄
துடங்கு (இன்)  ,begin (int.),ஹரும்ப3ம்ஹோ,हरुम्बम्हो,ꢲꢬꢸꢪ꣄ꢨꢪ꣄ ꢲꣂ
துடி (த்த்)  ,beat (heart),கு3ண்டெ3 ஹல்லி,गुण्डे हल्लि,ꢔꢸꢠ꣄ꢞꢾ ꢲꢭ꣄ꢭꢶ
துடை (த்த்)  ,wipe,போஸ்,पोस्,ꢦꣁꢱ꣄
துண்டி (த்த்)  ,make pieces,குட்கொகேர்,कुट्का॑केर्,ꢒꢸꢜ꣄ꢒꣁ ꢒꢾꢬ꣄
துணி (ந்த்)  ,Dare/ make bold,தை4ர்யு பொந்தி3,धैर्युपा॑न्दि,ꢤꣀꢬ꣄ꢫꢸ ꢦꣁꢥ꣄ꢣꢶ
துதி (த்த்)  ,praise,நூவ்/ ஶ்லாக4ணொ கேர்/ ,"नूव, श्लाघणा॑ केर","ꢥꢹꢮ꣄, ꢯ꣄꣄ꢭꢵꢕꢠꣁ ꢒꢿꢬ꣄"
துப்பு (இன்)  ,spit,தூ2வ்,थूव्,ꢢꢹꢮ꣄
தும்மு (இன்)  ,sneeze,ஸிகி3ர்,सिगिर्,ꢱꢶꢔꢶꢬ꣄
துரத்து (இன்)  ,chase,தெர்மி/த4மாட்,"त॑र्मि, धमाट","ꢡꢾꢬ꣄ꢪꢶ, ꢤꢪꢵꢜ꣄"
துருத்து (இன்)  ,Show forth,ப4ராட் அவாட்,भराट अवाट,ꢩꢬꢵꢜ꣄ ꢂꢮꢵꢜ꣄
துருவு (இன்)  ,scrape,துர்கி,तुर्कि,ꢡꢸꢬ꣄ꢒꢶ
துலக்கு (இன்)  ,make shine (vessels),மஞ்ஜி,मञ्जि,ꢪꢛ꣄ꢙꢶ
துலங்கு (இன்)  ,be shining (int.),ஶோப4ணொ ஹோ,शोभणा॑ हा॑,ꢯꣂꢩꢠꣁꢲꣁ
துவை (த்த்)  ,wash,கு3ஞ்ஜி,गुञ्जि,ꢔꢸꢛ꣄ꢙꢶ
துழாவு (இன்)  ,search with hand,தெவ்டி3,त॑व्डि,ꢡꢾꢮ꣄ꢞꢶ
துள்ளு(இன்)  ,jump,து4ங்கி,धुङ्कि,ꢤꢸꢖ꣄ꢒꢶ
துளிர் (த்த்)  ,sprout out,சிகுர் ஸோட்,चिगुर्सोट,ꢗꢶꢔꢸꢬ꣄ꢱꣂꢜ꣄
துளை (த்த்)  ,Pierce(tr),புட்டொ கேர்,पुट्टा॑ केर,ꢦꢸꢜ꣄ꢜꣁ ꢒꢿꢬ꣄
துற (ந்த்)  ,leave behind,ஸொட்3டி3ஜா,सा॑ड्डि जा,ꢱꣁꢞ꣄ꢞꢶ ꢙꢵ
தூண்டு (இன்)  ,kindle,செட்3வி,च॑ड्वि,ꢗꢾꢞ꣄ꢮꢶ
தூர் (த்த்)  ,clear,போஸ்,पोस्,ꢦꣁꢱ꣄
தூவு (இன்)  ,spray,சிலிஞ்சி,चिलिञ्चि,ꢗꢶꢭꢶꢛ꣄ꢗꢶ
தூறு (இன்)  ,drizzle,சிங்குல் போட்,चिङ्कुल् पोट,ꢗꢶꢖ꣄ꢒꢸꢭ꣄ ꢦꣂꢜ꣄
தெண்டு (இன்)  ,beg,யாசணொ கேர்,याचणा॑ केर,ꢫꢵꢗꢠꣁ ꢒꢿꢬ꣄
தெரி (ந்த்)  ,Know (tr),ஜன்லே,जन्ल॑,ꢙꢥ꣄ꢭꢿ
தெரிவி (த்த்)  ,convey,களாட்,कळाट्,ꢒꢳꢵꢜ꣄
தெவிட்டு (இன்)  ,be saturated,தோண்ஹான்,ता॑णहान,ꢡꢵꢠ꣄ꢲꢵꢥ꣄
தெள்ளு (இன்)  ,"sift, be clear",தெளிவ்ஹோ,त॑लिव्हो,ꢡꢾꢭꢶꢮ꣄ ꢲꣂ
தெளி (த்த்)  ,spray,சிலிஞ்சி/ ஶிகி3ர்,"चिलिञ्चि, शिगिर","ꢗꢶꢭꢶꢛ꣄ꢗꢾ,    ꢯꢶꢔꢶꢬ꣄"
தெறி (த்த்)  ,splash,செதி3ரி,च॑दिरि,ꢗꢾꢣꢶꢬꢶ
தேக்கு (இன்)  ,stagnate (tr.),ஹிப்3பா3ட்,हिब्बाट्,ꢲꢶꢨ꣄ꢨꢵꢜ꣄
தேங்கு (இன்)  ,stagnate (int.),ஹிப்3பி3,हिब्बि,ꢲꢶꢨ꣄ꢨꢶ
தேடு (இன்)  ,search,வெக்கி/மூகி3,"व॑क्कि, मूगि","ꢮꢾꢒ꣄ꢒꢶ, ꢪꢹꢔꢶ"
தேம்பு (இன்)  ,sob,குங்கி3,कुङ्कि,ꢒꢸꢖ꣄ꢒꢶ
தேய் (ந்த்)  ,wear off,தி3ஜயி ஜா,दिजयि जा,ꢣꢶꢙꢫꢶꢙꢵ
தேய் (த்த்)  ,"rub, iron (cloths)",கே3ஸ்,गेस्,ꢔꢿꢱ꣄
தேர் (ந்த்)  / தேறு (இன்)  ,win,ஜீக்3,जीग,ꢙꢷꢔ꣄
தேற்று (இன்)  ,console,தை3ர்யு தே3,दैर्यु दे,ꢣꣀꢬ꣄ꢫꢸ ꢣꢾ
தை (த்த்)  ,stitch,ஸீவ்,सीव,ꢱꢷꢮ꣄
தொகு (த்த்)  ,collect,ஜெதொ கேர்/ ஜெதொ செர்சி/ ஜெதொ மிளாட்3,"ज॑ता॑ केर, ज॑ता॑ चेर्चि, ज॑ता॑ मिळाड","ꢙꢾꢡꣁ ꢒꢿꢬ꣄, ꢙꢾꢡꣁ ꢗꢾꢬ꣄ꢗꢶ, ꢙꢾꢡꣁꢪꢳꢵꢞ꣄"
தொங்கு (இன்)  ,hang,லொம்பி3,ला॑म्बि,ꢭꣁꢪ꣄ꢨꢶ
தொடர் (ந்த்)  ,follow,தோர்,तोर,ꢡꣂꢬ꣄
தொடு (த்)  ,touch,ஹாட்,हाट,ꢲꢵꢜ꣄
தொணதொண (த்த்)  ,disturb by talking,அட்3ட3ம்வத்தொகேர்,अड्डम्वत्ता॑ केर,ꢂꢞ꣄ꢞꢪ꣄ꢮꢡ꣄ꢡꣁ ꢒꢿꢬ꣄
தொத்து (இன்)  ,hang on,தெ4ல்லிலொம்பி3,ध॑ल्लिला॑म्बि,ꢢꢾꢭ꣄ꢭꢶ ꢭꣁꢪ꣄ꢨꢶ
தொய் (ந்த்)  ,"be supple, become slack",தி4ல்லொ ஸோட்,धिल्ला॑ सोट्,ꢤꢶꢭ꣄ꢭꣁ ꢱꣁꢜ꣄
தொலி (த்த்)  ,peel off,ஸோல்,सोल,ꢱꣂꢭ꣄
தொலை (ந்த்) ,be lost,க3ம்ட3யி ஜா/ பெரம்ப3ம் ஹொய் ஜா,"गम्डयि जा, प॑रम्बम हा॑य्जा","ꢔꢪ꣄ꢞꢫꢶ ꢙꢵ, ꢦꢾꢬꢪ꣄ꢨꢪ꣄ ꢲꣁꢫ꣄ ꢙꢵ"
தொலை (த்த்)  ,lose (tr.),க3ம்டா3ட்,गम्डाट,ꢔꢪ꣄ꢞꢵꢜ꣄
தொழு (த்)  ,pray, நாம்,नाम,ꢥꢵꢪ꣄
தொற்று (இன்)  ,infect,லகி3தே4ர் / தெ4ரி லாகி3,"लगिधेर, ध॑रि लागि","ꢭꢔꢶꢤꢾꢬ꣄, ꢤꢾꢬꢶꢭꢵꢔꢶ"
தொனி (த்த்)  ,sound,ஸப்3து3கேர்,सब्दु केर,ꢱꢨ꣄ꢣꢸꢒꢿꢬ꣄
தோய் (த்த்)  ,make wet,ஒல்லொ கேர்/ பி3ஜ்வாட்3,"आ॑ल्ला॑ केर, बिज्वाड","ꢏꢭ꣄ꢭꣁ ꢒꢿꢬ꣄, ꢨꢶꢙ꣄ꢮꢵꢞ꣄"
தோல் (த்த்)  ,Fail (int),ஒடி3 ஜா,आ॑डि जा,ꢏꢞꢶ ꢙꢵ
தோன்று (இன்)  ,"appear,  seem",ஸாமுர் ஆவ்/ லாக்3,"सामुर आव, लाग","ꢱꢵꢪꢸꢬ꣄ ꢃꢮ꣄, ꢭꢵꢔ꣄"
நக்கு (இன்)  ,lick,சாட்,चाट्,ꢗꢵꢜ꣄
நகட்டு (இன்)  ,move (tr.),ஒத்தாட்,आ॑त्ताट्,ꢏꢡ꣄ꢡꢵꢜ꣄
நகர் (ந்த்)  ,move (int.),ஹல்லி/ ஹல்லயி ஜா,"हल्लि, हल्लयि जा","ꢲꢭ꣄ꢭꢶ, ꢲꢭ꣄ꢭꢫꢶ ꢙꢵ"
நகர்த்து (இன்)  ,move (tr.),ஹல்லாட்3,हल्लाड,ꢲꢭ꣄ꢭꢵꢞ꣄
நசி (ந்த்)  ,be destroyed,ஹீன் ஹொய் ஜா,हीन हा॑य जा,ꢲꢷꢥ꣄ ꢲꣁꢫ꣄ꢙꢵ
நசி (த்த்)  ,destroy,ஹீன் கேர்,हीन केर,ꢲꢷꢥ꣄ ꢒꢿꢬ꣄
நசுக்கு (இன்)  ,crush,நெஸ்கி/ பி4ருட்,"न॑स्कि, भिरुट","ꢥꢾꢱ꣄ꢒꢶ, ꢩꢶꢬꢸꢜ꣄"
நசுங்கு (இன்)  ,be crushed,நெஸ்கயி ஜா/  பி4ருட3யி ஜா,"न॑स्कयि जा, भिरुडयि जा","ꢥꢾꢱ꣄ꢒꢫꢶ ꢙꢵ, ꢩꢶꢬꢸꢞꢫꢶ ꢙꢵ"
நசுநசு (த்த்)  ,lose crispness(int),ஸொத3ஸொத3யி ஜா,सा॑दसा॑दयि जा,ꢱꣁꢣꢱꣁꢣꢫꢶ ꢙꢵ
நட(ந்த்)  ,walk,சால்,चाल्,ꢗꢵꢭ꣄
நட (ந்த்)  ,Happen(int),சால்,चाल,ꢗꢵꢭ꣄
நடத்து (இன்)  ,conduct,சலாட்,चलाट्,ꢗꢭꢵꢜ꣄
நடி (த்த்)  ,act,அபி4நயொ கேர்,अभिनया॑ केर,ꢂꢩꢶꢥꢫꣁ ꢒꢿꢬ꣄
நடு (ட்)  ,plant,கா4ல்,घाल,ꢕꢵꢭ꣄
நடுங்கு (இன்)  ,shiver,ஒண்கி,आ॑ण्कि,ꢏꢠ꣄ꢒꢶ
நம்பு (இன்)  ,believe,நொம்மி/பி4ண்டி3,"ना॑म्मि, भिण्डि","ꢥꣁꢪ꣄ꢪꢶ, ꢩꢶꢠ꣄ꢞꢶ"
நமஸ்கரி (த்த்)  ,greet,நாம்,नाम,ꢥꢵꢪ꣄
நமை (த்த்)  ,itch,கா2ஸ்,खास्,ꢓꢵꢭ꣄
நரை (த்த்)  ,become grey,ப2ண்டொ ஹொய் ஜா,भण्टो हा॑य्जा,ꢧꢠ꣄ꢜꣁ ꢲꣁꢫ꣄ꢙꢵ
நல்கு (இன்)  ,give,தே3,दे,ꢣꢿ
நலி (ந்த்)  ,be weak,சிக்கயி ஜா,चिक्कयि जा,ꢗꢶꢒ꣄ꢒꢫꢶ ꢙꢵ
நவில் (ன்ற்)  ,tell,ஸங்கி3,सङ्गि,ꢱꢖ꣄ꢔꢶ
நழுவு (இன்)  ,slip (int.),ஜி2ர்கயி ஜா,झिर्कयि जा,ꢚꢶꢬ꣄ꢒꢫꢶ ꢙꢵ
நறுக்கு (இன்)  ,cut,காட்,काट,ꢒꢵꢜ꣄
நனை (ந்த்)  ,wet (int.),பி3ஜ்வயி ஜா,बिज्वयि जा,ꢨꢶꢙ꣄ꢮꢫꢶꢙꢵ
நனை (த்த்)  ,wet (tr.),பி3ஜ்வி,बिज्वि,ꢨꢶꢙ꣄ꢮꢶ
நாட்டு (இன்)  ,fix,கா3ட்,गाट्,ꢔꢵꢜ꣄
