Unnamed: 0,49. Compound Verbs,மிஶ்ர க்ரியான்,मिश्र क्रियान,ꢪꢶꢯ꣄꣄ꢬ ꢒ꣄ꢬꢶꢫꢵꢥ꣄
இழிவுபடுத்து  ,degrade,உன்னொகேர்,उन्ना॑ केर्,ꢆꢥ꣄ꢥꣁ ꢒꢿꢬ꣄
இறுகத்தழுவு  ,hug,பொட்டளி ப4ந்தி3லே /பொட3லி ப4ந்தி3லே,"पा॑ट्टळि भन्दिले, पा॑डलि भन्दिले","ꢦꣁꢜ꣄ꢜꢳ ꢶꢩꢥ꣄ꢣꢶꢭꢿ,  ꢦꣁꢞꢭꢶ ꢩꢥ꣄ꢣꢶꢭꢿ"
இறைவனடி சேர் ,Attain to the Lord’sfeet,தே3வு பத3ம் மீள்,देवु पदम मील,ꢣꢿꢮꢸ ꢦꢣꢪ꣄ ꢪꢷꢭ꣄
இனம் காண்   ,identity,கு3ர்து களைலே,गुर्तु कळैले,ꢔꢸꢬ꣄ꢡꢸ ꢒꢳꣀꢭꢿ
ஈடாகு  ,become equal,ஸமமொ ஹொய்லே  அபே4த் ஜவட்3ளே,"सममा॑ हा॑य्ले, अभेत जवड्ळे","ꢱꢪꢪꣁ ꢲꣁꢫ꣄ꢭꢿ, ꢂꢩꢿꢡ꣄ ꢙꢮꢞ꣄ꢳꢿ"
ஈடுசெய்  ,compensate,ப்ரதிபூர்தி கேர்/ உன்னபன் ஸெர்கொ கேர்,"प्रतिपूर्ति केर, उन्नपन स॑र्का॑ केर","ꢦ꣄ꢬꢡꢶꢦꢹꢬ꣄ꢡꢶ ꢒꢿꢬ꣄, ꢆꢥ꣄ꢥꢦꢥ꣄ ꢱꢾꢬ꣄ꢒꣁ ꢒꢿꢬ꣄"
ஈடுபடு  ,involve,லகி3ஞ்சி ரா:,लगिञ्चि र्हा,ꢭꢔꢶꢛ꣄ꢗꢶ ꢬꢴꢵ
ஈடுபடுத்து  ,engage (tr.),லகி3ஞ்சடி3 ரா:,ल्गिञ्चडि र्हा,ꢭꢔꢶꢛ꣄ꢗꢞꢶ ꢬꢴꢵ 
ஈடேறு  ,fulfil,ஸித்3தி4 ஹோ,सिद्धि हो,ꢱꢶꢣ꣄ꢤꢶ ꢲꣂ
ஈயம்பூசு  ,coating the inner part of the vessel with lead,கெலாம்லாவ்,क॑लाम्लाव,ꢒꢾꢭꢵꢪ꣄ ꢭꢵꢮ꣄
