அங்குசம்  ,iron rod of mahout,அங்கு3ஸொ,अङ्गुसा॑,ꢂꢖ꣄ꢔꢸꢱꣁ
கொத்தனார்,mason,லவ்ரி,लव्रि,ꢭꢮ꣄ꢬꢶ
கொதிகலன்  ,boiler,கே2ட்3,खेड्,ꢓꢿꢞ꣄
கோடரி  ,axe,பரஸு,पर्सु,ꢦꢬꢱꢸ
சக்கரம்  ,wheel,செக்குர்,च॑क्कुर्,ꢗꢾꢒ꣄ꢒꢬ꣄
சங்கிலி  ,chain,ஸெங்கள்,स॑ङ्कळ,ꢱꢾꢖ꣄ꢒꢳ꣄
சமூகப்பணி  ,social work,ஸமூஹஸேவொ,समूह सेवा॑,ꢱꢪꢹꢲ ꢱꢿꢮꣁ
சமையல்காரன்  ,cook (m),ஹந்த3வ்கெரொ,हन्दव क॑रा॑,ꢲꢥ꣄ꢣꢮ꣄ ꢒꢾꢬꣁ
சமையல்காரி  ,cook (f),ஹந்த3வ்கெரின்,हन्दव क॑रिन,ꢲꢥ꣄ꢣꢮ꣄ ꢒꢾꢬꢶꢥ꣄
சாட்டை  ,whip,சாடொ,चाटा॑,ꢗꢵꢜꣁ
சாணைக்கல்  ,shar pening stone,ஸாண்,साण,ꢱꢵꢠ꣄
சாமணம்  ,"tongs, pincer",ஸாமணொ,सामणा॑,ꢱꢵꢪꢠꣁ
சாயம்  ,dye,ரெங்கு3,र॑ङ्गु,ꢬꢾꢖ꣄ꢔꢸ
சாளரம்  ,window,விடி3,विडि,ꢮꢶꢞꢶ
சிற்பம்  ,sculpture,ஸில்பு,सिल्पु,ꢱꢶꢭ꣄ꢦꢸ
சிற்பி  ,sculptor,ட2ங்க்னார்/ஸில்பி/ஸில்பகார்,"ठङ्क्नार, सिल्पि, सिल्पकार","ꢝꢖ꣄ꢒ꣄ꢥꢵꢬ꣄, ꢱꢶꢭ꣄ꢦꢶ, ꢱꢶꢭ꣄ꢦꢒꢵꢬ꣄"
சுக்கான்  ,rudder,பி2ர்வட்,फिर्वट्,ꢧꢶꢬ꣄ꢮꢜ꣄
சுண்ணாம்பு  ,lime,சுன்னொ,चुन्ना॑,ꢗꢸꢥ꣄ꢥꣁ
சுத்தியில்  ,hammer,ஸுத்தியல்/மூர்,"सुत्तियल्,मूर","ꢱꢸꢡ꣄ꢡꢶꢫꢭ꣄, ꢪꢹꢬ꣄"
சுமையாள்  ,porter,பா4ர்துக்குனார்,भार्तुक्कुनार,ꢩꢵꢬ꣄ꢡꢸꢒ꣄ꢒꢸꢥꢵꢬ꣄
சூளை,kiln,உஷ்லொ,उष्ला॑,ꢆꢰ꣄ꢭꣁ
செக்கு  ,oil press,பெண்க4ணொ,प॑ण्घणा॑,ꢦꢾꢠ꣄ꢕꢠꣁ
செண்டை  ,drum,செண்டெ (வாத்யம்),च॑ण्ट॑ (वात्यम्),ꢗꢾꢠ꣄ꢜꢾ ꢮꢵꢡ꣄ꢫꢪ꣄
செம்படவன்,fisherman,ம:ளய்து/ம:ளிவான்/ ம:ளிகெரி,"म्हळय्तु, म्हळिवान, म्हळिकेरि","ꢪꢴꢳꢫ꣄ꢡꢸ, ꢪꢴꢳ꣄ꢶꢮꢵꢥ꣄, ꢪꢴꢳꢶꢶꢒꢾꢬꢶ"
சக்கிலியன்,cobbler,ஸெக்குலுவான்,स॑क्कुलुवान,ꢱꢾꢒ꣄ꢒꢸꢭꢸꢮꢵꢥ꣄
செயலர்  ,secretary,கார்யத3ர்ஸி,कार्यदर्सि,ꢒꢵꢬ꣄ꢫꢣꢬ꣄ꢱꢶ
செயலாளர்  ,secretary,கார்யதர்ஸி,कार्यदर्सि,ꢒꢵꢬ꣄ꢫꢡꢬ꣄ꢱꢶ
சோதிடம்  ,astrology,ஜோஸ்யம்,जोस्यम्,ꢙꣂꢱ꣄ꢫꢪ꣄
சோதிடன்  ,astrologer,ஜோஸி,जोसि,ꢱꣂꢱꢶ
தகடு  ,sheet/,தெக3ட்3,त॑गड,ꢡꢾꢔꢞ꣄
,,ஹொட3ய்து,हा॑डय्तु,ꢲꣁꢣꢫ꣄ꢡꢸ
தட்டான்  ,goldsmith,ஸொனார்/கஸார்,"सा॑नार,कसार","ꢱꣁꢥꢵꢬꢸ, ꢒꢱꢵꢬ꣄"
தபால்காரன்,Postman,"லேகு3வான், தபால்கெரொ","लेगुवान्, तपाल्क॑रा॑","ꢭꢿꢔꢸꢮꢵꢥ꣄, ꢡꢦꢵꢭ꣄ꢒꢾꢬꣁ"
தரகன்  ,broker,தெர்களி,त॑र्कळि,ꢡꢾꢬ꣄ꢒꢳꢶ
தரகு  ,brokerage,தெரக்,त॑रक्,ꢡꢾꢬꢒ꣄
தவில்  ,drum,தொ4ண்டொ3,धा॑ण्डा॑,ꢤꣁꢠ꣄ꢞꣁ
தள்ளுவண்டி  ,trolley,தொ3ப்3ப3ன் கு3ஷ்டி,दा॑ब्बन गुष्टि,ꢣꣁꢨ꣄ꢨꢥ꣄ ꢔꢸꢰ꣄ꢜꢶ
தறி  ,loom,மகொ3,मगा॑,ꢪꢔꣁ
தார்க்குச்சி  ,spur,குஸ்கன்க2ட்டி,कुस्कन्खट्टि,ꢒꢸꢱ꣄ꢒꢥ꣄ꢓꢜ꣄ꢜꢶ
திசைக்காட்டும் கருவி    ,compass,தி3க்கு தெ3க்கடா3வ் / தி3க்கு த3ர்ஸினி/ தி3க்கு ஸூசனி,"दिक्कु द॑क्कडाव, दिक्कु दर्सिनि, दिक्कु सूचनि","ꢣꢶꢒ꣄ꢒꢸ ꢣꢾꢒ꣄ꢒꢞꢵꢮ꣄, ꢣꢶꢒ꣄ꢒꢸ ꢣꢬ꣄ꢱꢶꢥꢶ, ꢣꢶꢒ꣄ꢒꢸ ꢱꢹꢗꢥꢶ"
திருப்புளி  ,screw driver,பி4குஞ்சுனாவ்,भिकुञ्च्नाव,ꢩꢶꢒꢸꢖ꣄ꢗꢸꢥꢵꢮ꣄
துடுப்பு  ,oar,நவ்கா த3ண்டு3/ நவ்த3ண்டு3,"नव्का द्ण्डु, नव्दण्डु","ꢥꢮ꣄ꢒꢵ ꢣꢠ꣄ꢞꢸ, ꢥꢮ꣄ꢣꢠ꣄ꢞꢸ"
துடைப்பான்  ,duster,பொஸ்னாவ்,पा॑स्नाव,ꢦꣁꢱ꣄ꢥꢵꢮ꣄
துருத்தி  ,blower,பு2வ்னொ/பு2வ்னாவ்,"फुव्ना॑, फुव्नाव","ꢧꢸꢮ꣄ꢥꣁ, ꢧꢸꢮ꣄ꢥꢵꢮ꣄"
துளைக்கிணறு  ,borewell,புட்டா ஹீர்,पुट्टा हीर,ꢦꢸꢜ꣄ꢜꢵ ꢲꢷꢬ꣄
துளையிடுதல்  ,drilling,புட்டொ தக3ஸ்தே,पुट्टा॑ तगस्ते,ꢦꢸꢜ꣄ꢜꣁ ꢡꢔꢱ꣄ꢡꢾ
தூக்கி  ,crane,துக்கன்எந்துர்,तुक्कन् एन्तुर,ꢡꢸꢒ꣄ꢒꢥ꣄ ꢌꢥ꣄ꢡꢸꢬ
தூக்குக்கயிறு  ,execution rope,தூக்குதோ3ர்,दूक्कुदोर,ꢣꢹꢒ꣄ꢒꢸꢣꣂꢬ꣄
தூக்குமேடை  ,gallows,தூக்கு  மிட்டொ,तूक्कु मिट्टा॑,ꢡꢹꢒ꣄ꢒꢸ ꢪꢶꢜ꣄ꢜꣁ
தூண்டில்  ,fishing rod,ம:ளி தெ4ர்னாவ்,म्हळि ध॑र्नाव,ꢪꢴꢳꢶ ꢤꢾꢬ꣄ꢥꢵꢮ꣄
,,"புருஸ், குச்சன்","पुरुस्, कुच्चन्","ꢦꢸꢬꢸꢱ꣄, ꢒꢸꢗ꣄ꢗꢥ꣄"
தேனி வளர்ப்பு   ,bee keeping,மைமஹி ஹொவ்டி3ணி,मैमहि हा॑व्डिणि,ꢪꣀꢪꢲꢶ ꢲꣁꢮ꣄ꢞꢶꢠꢶ
தையல்போடு,stitch,ஸீவ்,सीव,ꢱꢷꢮ꣄
தையல்காரன்   ,tailor (m),ஸிம்பி,सिम्प,ꢱꢶꢪ꣄ꢦꢶ
தையல்காரி   ,tailor (f),ஸிம்பினி,सिम्पिनि,ꢱꢸꢪ꣄ꢦꢶꢥꢶ
தையல்பொறி   ,sewing machine,ஸிவ்னியந்துர்,सिव्नि यन्तुर,ꢱꢶꢮ꣄ꢥꢶ ꢫꢥ꣄ꢡꢸꢬ꣄
தொழில்  ,Profession/ labour,உத்3யோக்3/ உத்3யோகி3,"उद्योग, उद्योगि","ꢆꢣ꣄ꢫꣂꢔ꣄, ꢆꢣ꣄ꢫꣂꢔꢶ"
தோட்டக்காரன்  ,gardener,லானுவான்,लानुवान्,ꢭꢵꢥꢸꢮꢵꢥ꣄
தோட்டம்  ,garden,லான்,लान,ꢭꢵꢥ꣄
தோட்டி  ,scavenger,ஒட்3டெ3/ ஸுத்3தி4 கெர்னார்,"आ॑ड्ड॑, सुद्धि क॑र्नार","ꢏꢞ꣄ꢞꢾ, ꢱꢸꢣ꣄ꢤꢶ ꢒꢾꢬ꣄ꢥꢵꢬ꣄"
தோணி  ,ferry,தோ3ணி,दोणि,ꢣꣂꢠꢶ
தோல்  ,leather,கெஷண்,क॑षण्,ꢒꢾꢰꢥ꣄
நகைவியாபாரி  ,jeweler,ஸொன்னாவணிக்,सा॑न्नावणिक,ꢱꣁꢥ꣄ꢥꢵꢮꢠꢶꢒ꣄
நங்கூரம்  ,anchor,ஸ்த்2ரிகெரன் உபகரணொ,स्थरिकेरन उपकरणा॑,ꢱ꣄ꢢ꣄ꢬꢶꢒꢾꢬꢥ꣄ ꢆꢦꢒꢬꢠꣁ
நடத்துநர்  ,conductor,சல்தகரன்வான்,चल्तकरन्वान्,ꢗꢭ꣄ꢡꢒꢬꢥ꣄ꢮꢵꢥ꣄
நடவு  ,planting crops,க4ல்னி,घल्नि,ꢕꢭ꣄ꢥꢶ
நடனக்காரன்  ,dancer (m),நாச்வான்,नाच्वान्,ꢥꢵꢗ꣄ꢮꢵꢥ꣄
நடனக்காரி  ,dancer (f),நடனாளி,नटनाळि,ꢥꢜꢥꢵꢳꢶ
நடிகன்  ,actor,நச்வொ/நடி,"नच्वा॑, नटि","ꢥꢗ꣄ꢮꣁ, ꢥꢜꢶ"
நடிகை  ,actress,நச்வி/நடிகொ,"न्च्वि, नटिका॑","ꢥꢗ꣄ꢮꢶ, ꢥꢜꢶꢒꣁ"
நடிப்பு  ,action,பா4வனொ/,भावना॑,ꢩꢵꢮꢥꣁ
நர்த்தகன் / நாட்டியகாரன்,dancer (m),நர்தகொ,नर्त्तका॑,ꢥꢬ꣄ꢡ꣄ꢡꢒꣁ
நர்த்தகி/ நாட்டியகாரி,dancer (f),நர்தகி,नर्त्तकि,ꢥꢬ꣄ꢡ꣄ꢡꢒꢶ
நவச்சாரம்  ,ammonia,நவசார்,नवचार,ꢥꢮꢗꢵꢬ꣄
நாடகக்காரன்  ,drama actor,நட்கம்கெரி,न्ट्कम्केरि,ꢥꢜ꣄ꢒꢪ꣄ꢒꢾꢬꢶ
நாடகக்காரி  ,drama actress,நட்கமுஅளி,नट्कमु अळि,ꢥꢜ꣄ꢒꢪ꣄ ꢂꢳꢶ
நாவாய்  ,Barge/yacht,நவ்கொ,नका॑,ꢥꢮ꣄ꢒꣁ
நாற்றங்கால்  ,plantnursery,ஸஸ்யரோஹன ரேம் ,सस्यरोहन रेम,ꢱꢱ꣄ꢫꢬꣁꢲꢥ ꢬꢾꢪ꣄
நிர்வாகி  ,administrator,நிர்வாஹி,निर्वाहि,ꢥꢶꢬ꣄ꢮꢵꢲꢶ
நிலக்கரி  ,coal,கொ2ள்செ,खा॑ळ्च॑,ꢓꣁꢳ꣄꣄ꢗꢾ
நீர்ப்பாசனம்  ,irrigation,பாஸனொ/பனி ஸிஞ்சனொ,"पासना॑, पनि सिञ्चना॑","ꢦꢵꢱꢥꣁ, ꢦꢥꢶ ꢱꢶꢛ꣄ꢗꢥꣁ"
நீரேற்றி  ,pump,உஸ்புவாவ்,उस्पुवाव,ꢆꢱ꣄ꢦꢸꢮꢵꢮ꣄
நுகத்தடி,yoke,யோக் ப4ந்த3னொ/ நகொ3,"योक भन्दना॑, नगा॑","ꢫꣁꢒ꣄ ꢩꢥ꣄ꢣꢥꣁ, ꢥꢔꣁ"
நூல்  ,thread,தாக்/தொ3ரி,"ताक्, दा॑रि","ꢡꢵꢒ꣄, ꢣꣁꢬꢶ"
நூற்பவர்,spinner,கது3னார்,क्दुनार,ꢒꢣꢸꢥꢵꢬ꣄
நூற்பு  ,spinning,கத3ஸ்தே,कदस्ते,ꢒꢣꢱ꣄ꢡꢾ
நெசவாளி  ,weaver,வின்கர்,विन्कर,ꢮꢶꢥ꣄ꢒꢬ꣄
நெசவு  ,weaving,வினஸ்தே,विनते,ꢮꢶꢥꢱ꣄ꢡꢾ
நெம்புகோல்  ,lever,துக்கிஸொண்ணி/ உத்தோலகொ,"तुक्किसा॑ण्णि, उत्तोलका॑","ꢆꢒ꣄ꢒꢶꢱꣁꢠ꣄ꢠꢶ, ꢆꢡ꣄ꢡꣂꢭꢒꣁ"
பட்டறை / பணிமனை  ,workshop,பொட்டெட்/காமு ஸ்த2ல்/ காமு தா2ம்,"पा॑ट्ट॑ट, कामु स्थल, कामु थाम","ꢦꣁꢜ꣄ꢜꢾꢜ꣄, ꢒꢵꢪꢸ ꢱ꣄ꢢꢭ꣄, ꢒꢵꢪꢸ ꢢꢵꢪ꣄"
படகு  ,boat,பஞ்சல்,पञ्चल्,ꢦꢛBꢗꢭ꣄
படிமம்  ,fossil,ஜீவாஶ்மொ/       ஸிலா தா4து,"जीवाश्मा॑, सिलाधात","ꢙꢷꢮꢵꢯ꣄ꢪꣁ, ꢱꢶꢭꢵꢤꢵꢡꢸ"
படிவம்  ,form,பத்ரு,पत्रु,ꢦꢡ꣄ꢬꢸ
பண்ணை  ,farm,ஸாலொ,साला॑,ꢱꢵꢭꣁ
பணி  ,work,காம்,काम्,ꢒꢵꢪ꣄
,,காம்தா2ம்,काम्थाम्,ꢒꢵꢪ꣄ꢢꢵꢪ꣄
பதிப்பாசிரியர்  ,editor,ஸம்பாதகொ,स्म्पातका॑,ꢱꢪ꣄ꢦꢵꢡꢒꣁ
பரிசல்  ,coracle (round boat),நௌகொ,नौका॑,ꢥꣃꢒꣁ
பருவம்  ,season,ருது,रुतु,ꢥꢸꢡꢸ 
பல்சக்கரம்  ,gear,தா3து செக்குர்,दातु च॑क्कुर्,ꢣꢵꢡ꣄ ꢗꢾꢒ꣄ꢒꢸꢬ꣄
பலகணி  ,window,விடி3,विडि,ꢮꢶꢞꢶ
பலகை  ,wooden plank,பொல்கொ/பல்கொ,"पोल्का॑, पल्का॑","ꢦꣁꢭ꣄ꢒꣁ, ꢦꢭ꣄ꢒꣁ"
பளுதூக்கி  ,crane,பா4ர்துக்குனாவ்,भार्तुक्कुनाव,ꢩꢵꢬ꣄ ꢡꢸꢒ꣄ꢒꢸꢥꢵꢮ꣄
பாம்பாட்டி  ,snake charmer,அஹிதுண்டி3கொ/ஸாபுவஸகொ,"अहितुण्डिका॑, सापुवसका॑","ꢂꢲꢶꢡꢸꢠ꣄ꢞꢶꢒꣁ, ꢱꢵꢦꢸꢮꢱꢒꣁ"
பாய்மரம்,mast,நவ் மார்க3 சாலன/  நவ்நியந்த்ரண படொ,"नव मार्ग चालन, नव्नियन्त्रण पटा॑","ꢥꢮ꣄ ꢪꢵꢬ꣄ꢔ ꢗꢵꢭꢥ, ꢥꢮ꣄ ꢥꢶꢫꢥ꣄ꢡ꣄ꢬꢠ ꢦꢜꣁ"
கப்பல்,ship,தா3ர்,दार,ꢣꢵꢬ꣄
படகு,boat,நெளகொ,नौका॑,ꢥꣃꢒꣁ
பரிசல்,coracle,பஞ்சல்/வத்தெ,"पञ्चल्, वत्त॑","ꢦꢖ꣄ꢗꢭ꣄, ꢮꢡ꣄ꢡꢾ"
