Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢪꣁꢜ꣄ꢜꢾ,मा॑ट्ट॑,மொட்டெ,mo't't'e',mOTTE,mŏṭṭĕ,moʈʈe,shaven head,மொட்டைத்தலை  
ꢪꣁꢳꢶ,मा॑ळि,மொளி,mo'l'i,mOLi,mŏl̤i,moɭɪ,elbow,முழங்கை
ꢪꢸꢡ꣄ꢣꢶ ꢂꢖ꣄ꢒꢶꢳꢶ,मुत्दि अङकिळि,முத்3தி3அங்கி3ளி,mutdi ankil'i,mutdi aGkiLi,mutdi aṅkil̤i,mut̪d̪ɪ əŋkɪɭɪ,ring finger,மோதிரவிரல்  
ꢗꢷꢦꢸ,चीपु,சீபு,cheepu,cIpu,cīpu,t͡ʃiːpu,chin,மேவாய்
ꢩꢵꢖ꣄ꢔꢸ,भाङगु,பா4ங்கு3,bhaangu,bhAGgu,bhāṅgu,bʰɑːŋgu,Split line of hair,வகிடு  
ꢔꢸꢪ꣄ꢦꢶꢥꢶ,गुम्पिनि,கு3ம்பினி,gumpini,gumpini,gumpini,gumpɪn̪ɪ,parting of hair,வகுப்பு
ꢦꣂꢜ꣄,पोट्,போட்,pot',poT,poṭ,poːʈ,stomach,வயிறு  
ꢙꣀꢥ ꢲꢵꢡ꣄,जैनहात्,ஜைனஹாத்,jaina haat,jaina hAt,jaina hāt,d͡ʒəɪn̪ə ɦɑːt̪,right hand,வலக்கை  
ꢙꢾꢬꢸꢥ ꢲꢵꢡ꣄,जगुनहात्,ஜகு3னஹாத்,je'runa haat,jEruna hAt,jĕruna hāt,d͡ʒeɾun̪ə ɦɑːt̪,right hand,வலக்கை  
ꢡꣂꢠ꣄,तोण्,தோண்,ton,toN,toṇ,t̪oːɳ,mouth,வாய்  
ꢱꢾꢒꣁ,स॑का॑,ஸெகொ,se'ko',sEkO,sĕkŏ,s̪eko,sweat,வியர்வை  
ꢂꢖ꣄ꢒꢶꢳꢶ,अङकिळि,அங்கி3ளி,ankil'i,aGkiLi,aṅkil̤i,əŋkɪɭɪ,finger,விரல்  
ꢦꣁꢒ꣄ꢒꣁ,पा॑क्का॑,பொக்கொ,po'kko',pOkkO,pŏkkŏ,pokko,sides of the chest,விலா  
ꢦꣁꢒ꣄ꢒꣁ ꢲꢜ꣄ꢒꣁ,पा॑क्का हट्का॑,பொக்கா ஹட்கொ,po'kko' hat'ko',pOkkO haTkO,pŏkkŏ haṭkŏ,pokko ɦəʈko,ribs,விலா எலும்பு   
