Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢒꢵꢬꢵꢕꢾꢬ꣄,काराघेर,காரா கே4ர்,kaaraaghe'r,kArAghEr,kārāghĕr,kɑːɾɑːgʰeɾ,rigorous imprisonment,கடுஞ்சிறை  
ꢓꢾꢞꢶꢥꢸ ꢒꢵꢬꢵꢒꢵꢬ꣄,ख॑डिनु काराकार,கெ2டி3னு காராகார்,khe'd'inu kaaraakaar,khEDinu kArAkAr,khĕḍinu kārākār,kʰeɖɪn̪u kɑːɾɑːkɑːɾ,rigorous imprisonment,கடுஞ்சிறை  
ꢕꢾꢥꢪ꣄,घ॑नम्,கெ4னம்,ghe'nam,ghEnam,ghĕnam,gʰen̪əm,dignity,கண்ணியம்  
ꢣꣁꢳꢵꢪ꣄ ꢤꢹꢪ꣄,दा॑ळाम्धूम्,தொ3ளாதூ4ம்,do'l'aam dhoom,dOLAm dhUm,dŏl̤ām dhūm,d̪oɭɑːm d̪ʰuːm,tear gas,கண்ணீர்ப்புகை  
ꢒꢮꢵꢜ꣄ ꢚꢔꢶꢥꢶ,कवाट झगिनि,கவாட் ஜ2கி3னி,kavaat' jhagini,kavAT jhagini,kavāṭ jhagini,kəʋɑːʈ d͡ʒʰəgɪn̪ɪ,lock out,கதவடைப்பு  
ꢨꢥ꣄ꢣ꣄,बन्द,ப3ந்த்3,band,band,band,bən̪d̪,lock out,கதவடைப்பு  
ꢬꣃꢳꢶ,रौळि,ரௌளி,raul'i,rauLi,raul̤i,ɾəuɭɪ,mutiny,கலகம்  
ꢒꢭꢔꢪ꣄,कलगम्,கலக3ம்,kalagam,kalagam,kalagam,kələgəm,mutiny,கலகம்  
ꢔꢭꢵꢜ꣄ꢜꢵ,कलाट्टा,க3லாட்டா,galaat't'aa,galATTA,galāṭṭā,gəlɑːʈʈɑː,disturbance,கலாட்டா  
ꢔꢵꢪ꣄ ꢥꢶꢱꢨ꣄ꢣꢸ ꢱꢵꢱꢥꣁ,गाम् निसब्दु सासना॑,கா3ம்நிஸப்3து3ஸாஸனொ,gaam nisabdu saasano',gAm nisabdu sAsanO,gām nisabdu sāsanŏ,gɑːm n̪ɪs̪əbd̪u s̪ɑːs̪ən̪o,curfew,ஊரடங்குச் சட்டம்   
ꢨ꣄ꢬꢰ꣄ꢜꢵꢗꢵꢬ꣄,ब्रष्टाचार,ப்3ரஷ்டாசார்,brasht'aachaar,braSTAcAr,braṣṭācār,bɾəʂʈɑːt͡ʃɑːɾ,corruption,ஊழல்  
ꢪꢭꢶꢥꢵꢗꢵꢬ꣄,मलिनाचार,மலினாசார்,malinaachaar,malinAcAr,malinācār,məlɪn̪ɑːt͡ʃɑːɾ,corruption,ஊழல்  
ꢪꣁꢱꢒꢵꢬ꣄,मोसकार,மோஸகார்,mo'sakaar,mOsakAr,mŏsakār,mos̪əkɑːɾ,cheater,எத்தன்  
ꢲꣁꢖ꣄ꢔꢞ꣄ꢠꢵꢬ꣄,हा॑ङ्गडणार,ஹொங்க3ட்3ணார்,ho'ngad'naar,hOGgaDNAr,hŏṅgaḍṇār,ɦoŋgəɖɳɑːɾ,cheater,எத்தன்  
ꢮꢶꢦꢒ꣄ꢰꢸꢮꢵꢥ꣄,विपक्षुवान,விபக்ஷுவான்,vipakshuvaan,vipakSuvAn,vipakṣuvān,ʋɪpəkʂuʋɑːn̪,opposition cadre,எதிர்க்கட்சிக்காரன் 
ꢡꣂꢒꢸꢦꢒ꣄ꢰꢸꢮꢵꢥ꣄,तोकुपक्षुवान,தோகு பக்ஷுவான்,tokupakshuvaan,tokupakSuvAn,tokupakṣuvān,t̪oːkupəkʂuʋɑːn̪,opposition cadre,எதிர்க்கட்சிக்காரன் 
ꢏꢡ꣄ꢡꢶ,आ॑त्ति,ஒத்தி,o'tti,Otti,ŏtti,ot̪t̪ɪ,lease,ஒத்தி  
ꢭꢸꢒ꣄ꢙꢵꢥꢶ,लुक्जानि,லுக்ஜானி,lukjaani,lukjAni,lukjāni,lukd͡ʒɑːn̪ɪ,spy,ஒற்றன்
ꢗꢵꢬ꣄,चार्,சார்,chaar,cAr,cār,t͡ʃɑːɾ,spy,ஒற்றன்
ꢒꢜ꣄ꢗꢶꢒꢾꢬꣁ,कट्चिक॑रा॑,கட்சிகெரொ,kat'chike'ro',kaTcikErO,kaṭcikĕrŏ,kəʈt͡ʃɪkeɾo,client,கட்சிக்காரன்  
ꢦꢒ꣄ꢯꢸꢮꢵꢥ꣄,पक्षुवान,பக்ஷுவான்,pakshuvaan,pakzuvAn,pakśuvān,pəkʃuʋɑːn̪,client,கட்சிக்காரன்  
ꢗꢾꢡ꣄ꢡꢬ꣄,च॑त्तर्,செத்தர்,che'ttar,cEttar,cĕttar,t͡ʃet̪t̪əɾ,order,கட்டளை
ꢥꢿꢪꣁ,नेमा॑,நேமொ,nemo',nemO,nemŏ,n̪eːmo,discipline,கட்டுப்பாடு  
ꢗꣁꢞ꣄ꢞꣁ,चा॑ड्डा॑,சொட்3டொ3,cho'd'd'o',cODDO,cŏḍḍŏ,t͡ʃoɖɖo,thief,கள்ளன்
ꢱ꣄ꣁꢞ꣄ꢞꢶ,चा॑ड्डि,சொட்3டி3,s_o'd'd'i,s_ODDi,s_ŏḍḍi,s̪_oɖɖɪ,thief,கள்ளி
ꢢꢠꢵ ꢱ꣄ꢢꢭ ꢬꢒ꣄ꢰꢶꢥꢶ,थणा स्थल रक्षिनि,த2ணா ஸ்த2ல ரக்ஷினி,thanaa sthala rakshini,thaNA sthala rakSini,thaṇā sthala rakṣini,t̪ʰəɳɑː s̪t̪ʰələ ɾəkʂɪn̪ɪ,police custody,காவல் நிலைய கண்காணிப்பு
ꢢꢠꢵ ꢬꢒ꣄ꢰꢶꢥꢶ,थणारक्षिनि,த2ணா ரக்ஷினி,thanaa rakshini,thaNA rakSini,thaṇā rakṣini,t̪ʰəɳɑː ɾəkʂɪn̪ɪ,police custody,காவல் நிலைய கண்காணிப்பு
ꢢꢠꢵ ꢮꢶꢩꢵꢔ꣄,थणा विभाग,த2ணா விபா4க்3,thanaa vibhaag,thaNA vibhAg,thaṇā vibhāg,t̪ʰəɳɑː ʋɪbʰɑːg,police department,காவல் துறை   
ꢢꢠꢵ ꢱ꣄ꢢꢭ꣄,थणा स्थल्,த2ணா ஸ்த2ல்,thanaa sthal,thaNA sthal,thaṇā sthal,t̪ʰəɳɑː s̪t̪ʰəl,police station,காவல் நிலையம் 
ꢢꢠꣀꢡ꣄,थणैत,த2ணைத்,thanait,thaNait,thaṇait,t̪ʰəɳəɪt̪,policeman,காவலர்  
ꢒꢾꢭ꣄ꢭꢭ꣄,ख॑ल्लल्,கெ2ல்லல்,ke'llal,kEllal,kĕllal,kelləl,"mocking, teasing",கிண்டல்  
ꢬꣃꢞꢶ,रौडि,ரௌடி3,raud'i,rauDi,rauḍi,ɾəuɖɪ,goonda,குண்டன்
ꢒꢸꢠ꣄ꢞꢸ,कुण्डु,கு3ண்டு3,kund'u,kuNDu,kuṇḍu,kuɳɖu,bomb,குண்டு  
ꢕꣁꢞꢵ ꢱꣀꢥ꣄ꢫꢸ,घा॑डा सैन्यु,கொ4டா3ஸைன்யு,gho'd'aa sainyu,ghODA sainyu,ghŏḍā sainyu,gʰoɖɑː s̪əɪn̪ju,mounted police,குதிரைப்படை  
ꢒꢸꢪ꣄ꢦꢸ,कुम्पु,கு3ம்பு,kumpu,kumpu,kumpu,kumpu,crowd,கும்பல்  
ꢭꢸꢪ꣄ꢦ꣄ꢳꣁ,लुम्प्ळा॑,லும்ப்ளொ,lumpl'o',lumpLO,lumpl̤ŏ,lumpɭo,confusion,குழப்பம்  
ꢂꢦꢬꢵꢤ꣄,अपराध,அபராத்4,aparaadh,aparAdh,aparādh,əpəɾɑːd̪ʰ,crime,குற்றம்  
ꢂꢦꢬꢵꢕꢶ,अपराधि,அபராதி4,aparaaghi,aparAghi,aparāghi,əpəɾɑːgʰɪ,"culprit, the accused",குற்றவாளி  
ꢂꢮ꣄ꢞꢵ ꢮꢶꢗꢵꢬꢠꣁ,अव्डा विचारणा॑,அவ்டா3 விசாரணொ,avd'aa vichaarano',avDA vicAraNO,avḍā vicāraṇŏ,əʋɖɑː ʋɪt͡ʃɑːɾəɳo,cross question,குறுக்கு விசாரணை   
ꢒꣀꢣꢶ,कैदि,கைதி3,kaidi,kaidi,kaidi,kəɪd̪ɪ,prisoner,கைதி  
ꢨꢥ꣄ꢣꢶ,बन्दि,ப3ந்தி3,bandi,bandi,bandi,bən̪d̪ɪ,prisoner,கைதி  
ꢒꢵꢬꢵ ꢔꢸꢦ꣄ꢡꣁ,कारा गुप्ता॑,காராகு3ப்தொ,kaaraa gupto',kArA guptO,kārā guptŏ,kɑːɾɑː gupt̪o,prisoner,கைதி  
ꢒꣀꢣꢸ,कैदु,கைது3,kaidu,kaidu,kaidu,kəɪd̪u,arrest,கைது  
ꢨꢥ꣄ꢣꢶꢒꢾꢬ꣄ꢥꢶ,बन्दिक॑र्नि,ப3ந்தி3கெர்னி,bandike'rni,bandikErni,bandikĕrni,bən̪d̪ɪkeɾn̪ɪ,arrest,கைது  
ꢭꢾꢛ꣄ꢗꢪ꣄,लेञ्चम्,லெஞ்சம்,le'ncham,lEJcam,lĕñcam,leɲt͡ʃəm,bribe,"கையூட்டு, லஞ்சம்"
ꢒꢾꢭ꣄ꢭꢭ꣄ꢒꣁ,केल्लल्का॑,கெல்லல்கொ,ke'llalko',kEllalkO,kĕllalkŏ,kelləlko,"Mocking,trasing",கேலி
ꢪꣁꢬꢜꢱ꣄꣄ꢡꢾ,मा॑रटस्ते,மொரட3ஸ்தே,mo'rat'aste',mOraTastE,mŏraṭastĕ,moɾəʈəs̪t̪e,murder,கொலை  
ꢪꣁꢬꢞ꣄ꢠꢵꢬ꣄,मा॑रड्णार,மொரட்3ணார்,mo'rad'naar,mOraDNAr,mŏraḍṇār,moɾəɖɳɑːɾ,murderer,கொலைகாரன்/ கொலையாளி
ꢲꢥ꣄ꢡꣁ,हन्ता॑,ஹந்தொ,hanto',hantO,hantŏ,ɦən̪t̪o,murderer,கொலைகாரன்/ கொலையாளி
ꢕꢵꢡꢶ,घाति,கா4தி,ghaati,ghAti,ghāti,gʰɑːt̪ɪ,murderer,கொலைகாரன்/ கொலையாளி
ꢒꢦꢜꢸ ꢓꢶꢛ꣄ꢗꢶꢥꢶ,कपटु खिञ्चिनि,கபடு கி2ஞ்சினி,kapat'u khinchini,kapaTu khiJcini,kapaṭu khiñcini,kəpəʈu kʰɪɲt͡ʃɪn̪ɪ,decoity,கொள்ளை  
ꢒꢦꢜꢸ ꢓꢶꢛ꣄ꢗꢸꢥꢵꢬ꣄,कपटु खिञ्चुनार,கபடு கி2ஞ்சுனார்,kapat'u khinchunaar,kapaTu khiJcunAr,kapaṭu khiñcunār,kəpəʈu kʰɪɲt͡ʃun̪ɑːɾ,decoit,கொள்ளைக்காரன்
ꢒꢦꢜꢸ ꢓꢶꢛ꣄ꢗꢸꢥꢵꢬ꣄,कपटु खिञ्चुनार,கபடு கி2ஞ்சுனார்,kapat'u khinchunaar,kapaTu khiJcunAr,kapaṭu khiñcunār,kəpəʈu kʰɪɲt͡ʃun̪ɑːɾ,decoit,கொள்ளைக்காரி
ꢒꢸꢪ꣄ꢦꢸ,कुम्पु,கு3ம்பு,kumpu,kumpu,kumpu,kumpu,group,கோஷ்டி  
ꢱꢵꢱꢥ ꢱꢖ꣄ꢒꢳꢥꣁ,सासन सङ्कळ्ना॑,ஸாஸன ஸங்களனொ,saasana sankal'ano',sAsana saGkaLanO,sāsana saṅkal̤anŏ,s̪ɑːs̪ən̪ə s̪əŋkəɭən̪o,code,சட்டத்தொகுப்பு  
ꢱꢵꢱꢥ ꢱꢖ꣄ꢒꢭꢥꣁ,सासन सङ्कलना॑,ஸாஸன ஸங்கலனொ,saasana sankalano',sAsana saGkalanO,sāsana saṅkalanŏ,s̪ɑːs̪ən̪ə s̪əŋkələn̪o,code,சட்டத்தொகுப்பு  
ꢱꢵꢱꢥꣁ,सासना॑,ஸாஸனொ,saasano',sAsanO,sāsanŏ,s̪ɑːs̪ən̪o,law,சட்டம்  
ꢩꣁꢔꢸꢪꢵ,भा॑गुमान,பொ4கு3மான்,bho'gumaa,bhOgumA,bhŏgumā,bʰogumɑː,prize,சன்மானம்  
ꢱꢵꢒ꣄ꢰꢶ,साक्षि,ஸாக்ஷி,saakshi,sAkSi,sākṣi,s̪ɑːkʂɪ,witness,சாட்சி  
ꢦꢒ꣄ꢰꢸ,पक्षु,பக்ஷு,pakshu,pakSu,pakṣu,pəkʂu,favour,சாதகம்  
ꢱꢵꢣꢒꣁ,सादका॑,ஸாத3கொ,saadako',sAdakO,sādakŏ,s̪ɑːd̪əko,favour,சாதகம்  
ꢱꢵꢭꢵ ꢮꢶꢤꢶꢥ꣄,साला विधिन,ஸாலா விதி4ன்,saalaa vidhin,sAlA vidhin,sālā vidhin,s̪ɑːlɑː ʋɪd̪ʰɪn̪,traffic rules,சாலை விதிகள்   
ꢦꢶꢱ꣄ꢒꢭ꣄,पिस्कल,பிஸ்கல்,piskal,piskal,piskal,pɪs̪kəl,problem,சிக்கல்  
ꢦꢸꢱ꣄ꢒꣁ,बुस्का॑,பு3ஸ்கொ,pusko',puskO,puskŏ,pus̪ko,problem,சிக்கல்  
ꢗꢶꢡ꣄ꢬ ꢮꢤꣁ,चित्रवधो,சித்ரவதொ4,chitra vadho',citra vadhO,citra vadhŏ,t͡ʃɪt̪ɾə ʋəd̪ʰo,torture,சித்திரவதை  
ꢒꢵꢬꢵꢕꢾꢬ꣄,काराघेर,காரா கே4ர்,kaaraaghe'r,kArAghEr,kārāghĕr,kɑːɾɑːgʰeɾ,"jail, prison",சிறை  
ꢱꣂꢱꢥꣁ,सोसना॑,ஸோஸனொ,sosano',sosanO,sosanŏ,s̪oːs̪ən̪o,exploitation,சுரண்டல்  
ꢒꢸꢥꢸꢔꢶꢥꢶ,कुनुगिनि,குநுகி3னி,kunugini,kunugini,kunugini,kun̪ugɪn̪ɪ,exploitation,சுரண்டல்  
ꢮꢶꢭꢹꢝ꣄,विलूठ,விலூட்2,viloot'h,vilUTh,vilūṭh,ʋɪluːʈʰ,plunder,சூறையாடல்  
ꢲꢥꢶꢪꢵꢬ꣄,हनिमार,ஹனிமார்,hanimaar,hanimAr,hanimār,ɦən̪ɪmɑːɾ,plunder,சூறையாடல்  
ꢮꢶꢭꢸꢝꢥꣁ,विलुठना॑,விலுட2னொ,vilut'hano',viluThanO,viluṭhanŏ,ʋɪluʈʰən̪o,plunder,சூறையாடல்  
ꢃꢱ꣄ꢡꢶ,आस्ति,ஆஸ்தி,aasti,Asti,āsti,ɑːs̪t̪ɪ,property,சொத்து  
ꢱꣁꢡ꣄ꢡꢸ,सा॑त्तु,ஸொத்து,so'ttu,sOttu,sŏttu,s̪ot̪t̪u,property,சொத்து  
