Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢪꢵꢥ꣄ꢣꢸꢓꢿꢱ꣄,मान्दु खेस,மாந்து3கே2ஸ்,maandukhes,mAndukhes,māndukhes,mɑːn̪d̪ukʰeːs̪,mane,பிடரி மயிர் 
ꢦꢾꢠ꣄,पेण्,பேண்,pe'n,pEN,pĕṇ,peɳ,oil cake,பிண்ணாக்கு 
ꢇꢤꣁ,ऊदा॑,ஊதொ3,oodho',UdhO,ūdhŏ,uːd̪ʰo,udder of cattle,மடி 
ꢦꣁꢡꢸꢮ꣄,पा॑दुव्,பொது3வ்,po'tuv,pOtuv,pŏtuv,pot̪uʋ,udder of cattle,மடி 
ꢓꢿꢱ꣄,खेस्,கே2ஸ்,khes,khes,khes,kʰeːs̪,hair,மயிர் 
ꢬꣂꢪ꣄,रोम,ரோம்,rom,rom,rom,ɾoːm,hair,மயிர் 
ꢡꢥꣁ,तनु,தனொ,tano',tanO,tanŏ,t̪ən̪o,,
ꢭꣁꢞ꣄ꢞꢶ,ला॑ड्डि,லொட்3டி3,lo'd'd'i,lODDi,lŏḍḍi,loɖɖɪ,animal refuse,லத்தி
ꢭꢵꢫꢪ꣄,लायम्,லாயம்,laayam,lAyam,lāyam,lɑːjəm,stable,லாயம் 
ꢦꢹꢱ꣄,पूस्,பூஸ்,poos,pUs,pūs,puːs̪,tail,வால் 
ꢦꢸꢱꢶꢞꢶ,पुसिडि,புஸிடி3,pusid'i,pusiDi,pusiḍi,pus̪ɪɖɪ,tail,வால் 
ꢔꣁꢮꢡ꣄,गा॑वत्,கொ3வத்,go'vat,gOvat,gŏvat,goʋət̪,hay given as fodder to animals,வைக்கோல் 
