Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢱꣃꢱꢶꢥꢶ,सौसिनि,ஸௌஸினி,sausini,sausini,sausini,s̪əus̪ɪn̪ɪ,rule,ஆட்சி  
ꢬꢵꢙ꣄ꢫ ꢩꢰꣁ,राज्य भाषा॑,ராஜ்யபா4ஷொ,raajya bhasho',rAjya bhaSO,rājya bhaṣŏ,ɾɑːd͡ʒjə bʰəʂo,administrative language,ஆட்சிமொழி  
ꢃꢙ꣄ꢛꢾ,आजञो,ஆஜ்ஞொ,aajnye',AjJE,ājñĕ,ɑːd͡ʒɲe,order,ஆணை  
ꢥꢶꢫꣂꢔꣁ,नियोगा॑,நியோகொ3,niyogo',niyogO,niyogŏ,n̪ɪjoːgo,commission,ஆணையம்  
ꢃꢫꣂꢔ꣄,आयोग,ஆயோக்3,aayog,Ayog,āyog,ɑːjoːg,commission,ஆணையம்  
ꢥꢶꢫꣂꢔꢶ,नियोगि,நியோகி3,niyogi,niyogi,niyogi,n̪ɪjoːgɪ,commissioner,ஆணையர்  
ꢃꢫꣂꢒꢶ,आयोगि,ஆயோகி3,aayoki,Ayoki,āyoki,ɑːjoːkɪ,commissioner,ஆணையர்  
ꢂꢣ꣄ꢭꢥ꣄,अद्लन,அத்3லன்,adlan,adlan,adlan,əd̪lən̪,support,ஆதரவு  
ꢂꢣ꣄ꢥꢶ,अद्नि,அத்3னி,adni,adni,adni,əd̪n̪ɪ,support,ஆதரவு  
ꢭꢵꢨ꣄,लाब्,லாப்3,laab,lAb,lāb,lɑːb,profit,ஆதாயம்  
ꢂꢣꢵꢮ꣄,अदाव,அதா3வ்,adaav,adAv,adāv,əd̪ɑːʋ,profit,ஆதாயம்  
ꢦ꣄ꢬꢩꢸꢡ꣄ꢮꣁ,प्रभुत्वा॑,ப்ரபு4த்வொ,prabhutvo',prabhutvO,prabhutvŏ,pɾəbʰut̪ʋo,domination,ஆதிக்கம்  
ꢂꢬ꣄ꢒ꣄ꢫꢵꢬ꣄,अर्क्यार,அர்க்யார்,arkyaar,arkyAr,arkyār,əɾkjɑːɾ,domination,ஆதிக்கம்  
ꢃꢤꢶꢦꢡ꣄ꢫꣁ,आधिपत्या॑,ஆதி4பத்யொ,aadhipatyo',AdhipatyO,ādhipatyŏ,ɑːd̪ʰɪpət̪jo,domination,ஆதிக்கம்  
ꢆꢡ꣄ꢦꢵꢣꢥꢱꢸꢭ꣄ꢒꣁ,उत्पादनसुल्को,உத்பாத3னஸுல்கொ,utpaadanasulko',utpAdanasulkO,utpādanasulkŏ,ut̪pɑːd̪ən̪əs̪ulko,excise duty,ஆயத்தீர்வை  
ꢱꢸꢭ꣄ꢒꣁ,सुल्का॑,ஸுல்கொ,sulko',sulkO,sulkŏ,s̪ulko,tax,ஆயம்  
ꢒꢬꣁ,करा॑,கரொ,karo',karO,karŏ,kəɾo,tax,ஆயம்  
ꢃꢫꢸꢱ꣄ꢣꢠ꣄ꢞꢥꣁ,आयुस्दण्डना॑,ஆயுஸ்த3ண்ட3னொ,aayusdand'ano',AyusdaNDanO,āyusdaṇḍanŏ,ɑːjus̪d̪əɳɖən̪o,life imprisonment,ஆயுள் தண்டனை    
ꢆꢡ꣄ꢱꢵꢲ꣄,उत्साह,உத்ஸாஹ்,utsaah,utsAh,utsāh,ut̪s̪ɑːɦ,zeal,ஆர்வம்  
ꢒꢮ꣄ꢡꢸꢒꣁ,कव्तुका॑,கவ்துகொ,kavtuko',kavtukO,kavtukŏ,kəʋt̪uko,zeal,ஆர்வம்  
ꢃꢭꣂꢱꢥꣁ,आलोसना॑,ஆலோஸனொ,aalosano',AlosanO,ālosanŏ,ɑːloːs̪ən̪o,suggestion,ஆலோசனை  
ꢂꢩꢶꢦ꣄ꢬꢵꢫꢸ,अभिप्रायु,அபி4ப்ராயு,abhipraayu,abhiprAyu,abhiprāyu,əbʰɪpɾɑːju,suggestion,ஆலோசனை  
ꢭꢶꢓꢾꢦꢡ꣄ꢡꢬ꣄,लिख॑पत्तर,லிகெ2பத்தர்,likhe'pattar,likhEpattar,likhĕpattar,lɪkʰepət̪t̪əɾ,record/document,ஆவணம்  
ꢭꢿꢓ ꢦ꣄ꢬꢪꢵꢠꣁ,लेख प्रमाणा॑,லேக2 ப்ரமாணொ,lekha pramaano',lekha pramANO,lekha pramāṇŏ,leːkʰə pɾəmɑːɳo,record/document,ஆவணம்  
ꢱꢵꢱꢥꢦꢒ꣄ꢰꣁ,सासन पक्षो,ஸாஸனபக்ஷொ,saasanapaksho',sAsanapakSO,sāsanapakṣŏ,s̪ɑːs̪ən̪əpəkʂo,ruling party,ஆளுங்கட்சி  
ꢬꢵꢙ꣄ꢦꢵꢭ꣄,राज्पाल्,ராஜ்பால்,raajpaal,rAjpAl,rājpāl,ɾɑːd͡ʒpɑːl,governor,ஆளுநர்  
ꢬꢵꢙ꣄ꢦꢵꢭꢥꣁ,राज्पालना॑,ராஜபாலனொ,raajpaalano',rAjpAlanO,rājpālanŏ,ɾɑːd͡ʒpɑːlən̪o,governance,ஆளுமை  
ꢏꢦ꣄ꢦꢶꢭꢶꢥꢶ,आ॑प्पिलिनि,ஒப்பிலினி,o'ppilini,Oppilini,ŏppilini,oppɪlɪn̪ɪ,"consent, accord",இசைவு  
ꢱꢪ꣄ꢪꢡ꣄,सम्मत,ஸம்மத்,sammat,sammat,sammat,s̪əmmət̪,"consent, accord",இசைவு  
ꢒꢨꢥ꣄ꢣꢸꢱꢬ꣄ꢒꢵꢬ꣄,कबन्दु सर्कार्,கப3ந்து3ஸர்கார்,kabandusarkaar,kabandusarkAr,kabandusarkār,kəbən̪d̪us̪əɾkɑːɾ,interim government,இடைக்கால அரசு   
ꢂꢥ꣄ꢡꢬ꣄ꢥꢶꢰꢾꢤ꣄,अन्तर्निषेध,அந்தர்நிஷேத்4,antarnishe'dh,antarniSEdh,antarniṣĕdh,ən̪t̪əɾn̪ɪʂed̪ʰ,interim stay,இடைக்காலத் தடை   
ꢪꢴꢣ꣄ꢣꢶꢪꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,म्हद् मद्दिमु हिब्बड्णि,ம:த்3தி3மு ஹிப்3ப3ட்3ணி,mhaddimu hibbad'ni,mhaddimu hibbaDNi,mhaddimu hibbaḍṇi,mɦəd̪d̪ɪmu ɦɪbbəɖɳɪ,interim stay,இடைக்காலத் தடை   
ꢣꢾꢬ꣄ꢒꢭꢶ,तेर्कलि,தெர்களி,de'rkali,dErkali,dĕrkali,d̪eɾkəlɪ,"middle man,  broker",இடைத்தரகர்  
ꢪꢴꢣ꣄ꢫꢮꢬ꣄ꢡꢶ,म्हद्यवर्ति,ம:த்3யவர்தி,mhadyavarti,mhadyavarti,mhadyavarti,mɦəd̪jəʋəɾt̪ɪ,"middle man,  broker",இடைத்தரகர்  
ꢂꢮ꣄ꢞꢒꢵꢭꢸ ꢗꢸꢥꢵꢮ꣄,अव्डकालु चुनाव,அவ்ட3காலுசுனாவ்,avd'akaalu chunaav,avDakAlu cunAv,avḍakālu cunāv,əʋɖəkɑːlu t͡ʃun̪ɑːʋ,mid-term pole,இடைத்தேர்தல்  
ꢪꢴꢣ꣄ꢣꢶꢪ꣄   ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,म्हद्दिमहिब्बड्णि अवलम्बना॑,ம:த்3தி3ம்  ஹிப்3ப3ட்3ணி,mhaddim   hibbad'ni,mhaddim   hibbaDNi,mhaddim   hibbaḍṇi,mɦəd̪d̪ɪm   ɦɪbbəɖɳɪ,suspension/interruption,இடைநிறுத்தம்  
ꢂꢮꢭꢪ꣄ꢨ꣄ꢥꣁ,तत्कालु हिब्बड्णि,அவலம்ப3னொ,avalambno',avalambnO,avalambnŏ,əʋələmbn̪o,suspension/interruption,இடைநிறுத்தம்  
ꢡꢡ꣄ꢒꢵꢭꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,तत्कालु हिब्बड्णि,தத்காலு ஹிப்3ப3ட்3ணி,tatkaalu hibbad'ni,tatkAlu hibbaDNi,tatkālu hibbaḍṇi,t̪ət̪kɑːlu ɦɪbbəɖɳɪ,suspension/interruption,இடைநிறுத்தம்  
ꢌꢠ꣄ꢔꢶꢥꢶ,ए॑ण्गिनि,எண்கி3னி,e'ngini,ENgini,ĕṇgini,eɳgɪn̪ɪ,accordance,இணக்கம்  
ꢂꢥꢸꢬꢹꢦꢡꣁ,अनुरूपता॑,அனுரூபதொ,anuroopato',anurUpatO,anurūpatŏ,ən̪uɾuːpət̪o,accordance,இணக்கம்  
