Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢩꢸꢬ꣄ꢒꣁꢒꢿꢬ꣄,भुर्का॑ केर,பு4ர்கொ கேர்,bhurko'ker,bhurkOker,bhurkŏker,bʰuɾkokeːɾ,powder,நுணுக்கு
ꢱꢹꢒ꣄ꢯꢪꣁꢒꢥꢶ ꢬꢴꢵ,सूक्षमा॑कनि र्हा,ஸூக்ஷ்மொகனி ரா:,sookshamo'kani rhaa,sUkzamOkani rhA,sūkśamŏkani rhā,s̪uːkʃəmokən̪ɪ ɾɦɑː,be minute,நுணுகு
ꢩꢸꢬ꣄ꢒꣁ ꢲꣁꢫ꣄ꢙꢵ,भुर्का॑ हा॑य्जा,பு4ர்கொ ஹொய் ஜா,bhurko' ho'yjaa,bhurkO hOyjA,bhurkŏ hŏyjā,bʰuɾko ɦojd͡ʒɑː,be powdered,நுணுங்கு
ꢨꢸꢱꢸꢪ꣄ ꢨꢸꢬꢸꢞꣁ ꢲꣂ,बुसुम बुरुडो हो,பு3ஸும் பு3ருடொ3 ஹோ,busum burud'o' ho,busum buruDO ho,busum buruḍŏ ho,bus̪um buɾuɖo ɦoː,bubble,நுரை
ꢡꢹꢬ꣄,तूर,தூர்,toor,tUr,tūr,t̪uːɾ,enter,நுழை
ꢨ꣄ꢬꢮꢿꢯ꣄꣄ ꢒꢿꢬ꣄,प्रवेश केर,ப்ரவேஶ் கேர்,bravesh ker,bravez ker,braveś ker,bɾəʋeːʃ keːɾ,enter,நுழை
ꢡꢸꢬꢵꢜ꣄,तुराट,துராட்,turaat',turAT,turāṭ,t̪uɾɑːʈ,enter,நுழை
ꢦ꣄ꢬꢮꢿꢯ꣄ ꢒꢾꢬꢵꢜ꣄,प्रवेश्क॑राट,ப்ரவேஶ் கெராட்,pravesh ke'raat',pravez kErAT,praveś kĕrāṭ,pɾəʋeːʃ keɾɑːʈ,enter,நுழை
ꢒꢵꢡ꣄,कात,காத்,kaat,kAt,kāt,kɑːt̪,Spin,நூல்
ꢡꢮꢫꢶ ꢮꢔꢸꢠ꣄ꢜꣁ ꢲꣂ,तवयि वगुण्टा॑ हो,தவயி வகு3ண்டொ ஹோ,tavayi vagunt'o' ho,tavayi vaguNTO ho,tavayi vaguṇṭŏ ho,t̪əʋəjɪ ʋəguɳʈo ɦoː,become flexible,நெகிழ்
ꢮꢷꢥ꣄,वीन्,வீன்,veen,vIn,vīn,ʋiːn̪,weave,நெய்
ꢡꢾꢮ꣄ꢞꢶ,त॑व्डि,தெவ்டி3,te'vd'i,tEvDi,tĕvḍi,t̪eʋɖɪ,grope,நெரடு
ꢦꢶꢱ꣄ꢒꢫꢶ ꢙꢵ,पिस्कयि जा,பிஸ்கயி ஜா,piskayi jaa,piskayi jA,piskayi jā,pɪs̪kəjɪ d͡ʒɑː,be strangled,நெரி
ꢦꢶꢱ꣄ꢒꢶ,पिस्कि,பிஸ்கி,piski,piski,piski,pɪs̪kɪ,squeeze,நெருக்கு
