ꢂꢠ꣄ꢗꢸ ꢮꢔꢡꢶ,अण्चुव गति,அண்சுவ க3தி,suppression,அடக்குமுறை  
ꢂꢦꢬꢵꢕꢶ,अपराधि,அபராதி4,"culprit, the accused",குற்றவாளி  
ꢂꢮ꣄ꢞꢵ ꢮꢶꢗꢵꢬꢠꣁ,अव्डा विचारणा॑,அவ்டா3 விசாரணொ,cross question,குறுக்கு விசாரணை   
ꢒꣀꢣꢶ,कैदि,கைதி3,prisoner,கைதி  
ꢨꢥ꣄ꢣꢶ,बन्दि,ப3ந்தி3,prisoner,கைதி  
ꢒꢵꢬꢵ ꢔꢸꢦ꣄ꢡꣁ,कारा गुप्ता॑,காராகு3ப்தொ,prisoner,கைதி  
ꢒꣀꢣꢸ,कैदु,கைது3,arrest,கைது  
ꢨꢥ꣄ꢣꢶꢒꢾꢬ꣄ꢥꢶ,बन्दिक॑र्नि,ப3ந்தி3கெர்னி,arrest,கைது  
ꢭꢾꢛ꣄ꢗꢪ꣄,लेञ्चम्,லெஞ்சம்,bribe,"கையூட்டு, லஞ்சம்"
ꢒꢾꢭ꣄ꢭꢭ꣄ꢒꣁ,केल्लल्का॑,கெல்லல்கொ,"Mocking,trasing",கேலி
ꢪꣁꢬꢜꢱ꣄꣄ꢡꢾ,मा॑रटस्ते,மொரட3ஸ்தே,murder,கொலை  
ꢪꣁꢬꢞ꣄ꢠꢵꢬ꣄,मा॑रड्णार,மொரட்3ணார்,murderer,கொலைகாரன்/ கொலையாளி
ꢲꢥ꣄ꢡꣁ,हन्ता॑,ஹந்தொ,murderer,கொலைகாரன்/ கொலையாளி
ꢕꢵꢡꢶ,घाति,கா4தி,murderer,கொலைகாரன்/ கொலையாளி
ꢒꢦꢜꢸ ꢓꢶꢛ꣄ꢗꢶꢥꢶ,कपटु खिञ्चिनि,கபடு கி2ஞ்சினி,decoity,கொள்ளை  
ꢒꢦꢜꢸ ꢓꢶꢛ꣄ꢗꢸꢥꢵꢬ꣄,कपटु खिञ्चुनार,கபடு கி2ஞ்சுனார்,decoit (M),கொள்ளைக்காரன் 
ꢒꢦꢜꢸ ꢓꢶꢛ꣄ꢗꢸꢥꢵꢬ꣄,कपटु खिञ्चुनार,கபடு கி2ஞ்சுனார்,decoit (F),கொள்ளைக்காரி  
ꢒꢸꢪ꣄ꢦꢸ,कुम्पु,கு3ம்பு,group,கோஷ்டி  
ꢱꢵꢱꢥ ꢱꢖ꣄ꢒꢳꢥꣁ,सासन सङ्कळ्ना॑,ஸாஸன ஸங்களனொ,code,சட்டத்தொகுப்பு  
ꢱꢵꢱꢥ ꢱꢖ꣄ꢒꢭꢥꣁ,सासन सङ्कलना॑,ஸாஸன ஸங்கலனொ,code,சட்டத்தொகுப்பு  
ꢱꢵꢱꢥꣁ,सासना॑,ஸாஸனொ,law,சட்டம்  
ꢩꣁꢔꢸꢪꢵ,भा॑गुमान,பொ4கு3மான்,prize,சன்மானம்  
ꢱꢵꢒ꣄ꢰꢶ,साक्षि,ஸாக்ஷி,witness,சாட்சி  
ꢦꢒ꣄ꢰꢸ,पक्षु,பக்ஷு,favour,சாதகம்  
ꢱꢵꢣꢒꣁ,सादका॑,ஸாத3கொ,favour,சாதகம்  
ꢱꢵꢭꢵ ꢮꢶꢤꢶꢥ꣄,साला विधिन,ஸாலா விதி4ன்,traffic rules,சாலை விதிகள்   
ꢦꢶꢱ꣄ꢒꢭ꣄,पिस्कल,பிஸ்கல்,problem,சிக்கல்  
ꢦꢸꢱ꣄ꢒꣁ,बुस्का॑,பு3ஸ்கொ,problem,சிக்கல்  
ꢗꢶꢡ꣄ꢬ ꢮꢤꣁ,चित्रवधो,சித்ரவதொ4,torture,சித்திரவதை  
ꢒꢵꢬꢵꢕꢾꢬ꣄,काराघेर,காரா கே4ர்,"jail, prison",சிறை  
ꢱꣂꢱꢥꣁ,सोसना॑,ஸோஸனொ,exploitation,சுரண்டல்  
ꢒꢸꢥꢸꢔꢶꢥꢶ,कुनुगिनि,குநுகி3னி,exploitation,சுரண்டல்  
ꢮꢶꢭꢹꢝ꣄,विलूठ,விலூட்2,plunder,சூறையாடல்  
