Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢗꢸꢜ꣄ꢜꢸ ꢧꢷꢬ꣄,चुट्टुफीर्,சுட்டுபீ2ர்,chut't'u pheer,cuTTu phIr,cuṭṭu phīr,t͡ʃuʈʈu pʰiːɾ,go round,கறங்கு (இன்)  
ꢱꢵꢦꢥꣁ ꢣꢿ,सापना॑ दे,ஸாபனொ தே3,saapano' de,sApanO de,sāpanŏ de,s̪ɑːpən̪o d̪eː,frown,கறுவு (இன்)  
ꢦꣁꢳ꣄ꢳꣁ ꢲꣂ,पोळ्ळा॑हो,பொள்ளொ ஹோ,po'l'l'o' ho,pOLLO ho,pŏl̤l̤ŏ ho,poɭɭo ɦoː,ripen,கனி (ந்த்)  
ꢒꢨꢵꢜ꣄,कबाट्,கபா3ட்,kabaat',kabAT,kabāṭ,kəbɑːʈ,protect,கா (த்த்)  
ꢣꢾꢒ꣄ꢒꢵꢜ꣄,द॑क्काट्,தெ3க்காட்,de'kkaat',dEkkAT,dĕkkāṭ,d̪ekkɑːʈ,show,காட்டு (இன்)  
ꢦꢶꢬꢿꢮ꣄ ꢒꢿꢬ꣄,पिरेव केर्,ப்ரேவ்கேர்,pirev ker,pirev ker,pirev ker,pɪɾeːʋ keːɾ,love,காதலி (த்த்)  
ꢱꢸꢒ꣄ꢒꢶ ꢙꢵ,सुक्कि जा,ஸுக்கிஜா,sukki jaa,sukki jA,sukki jā,s̪ukkɪ d͡ʒɑː,"dry (int.), boil (int.)",காய் (ந்த்)  
ꢡꢦ꣄ꢦꢶ ꢙꢵ,तप्पि जा,தப்பி ஜா,tappi jaa,tappi jA,tappi jā,t̪əppɪ d͡ʒɑː,"dry (int.), boil (int.)",காய் (ந்த்)  
ꢒꢫ꣄ꢭꣁ ꢣꢾ,कय्ला॑ दे,கய்லொ தே3,kaylo' de',kaylO dE,kaylŏ dĕ,kəjlo d̪e,give fruit (tree) (tr.),காய் (த்த்)  
ꢡꢦꢵꢜ꣄,तपाट,தபாட்,tapaat',tapAT,tapāṭ,t̪əpɑːʈ,boil (tr.),காய்ச்சு (இன்)  
