ꢂꢒ꣄ꢒꢬꣁꢓꢳ꣄ꢳꢿ,अक्करा॑ खळ्ळे,அக்கரொ க2ள்ளே,get interested,அக்கறைகொள்  
ꢭꢔꢶꢛ꣄ꢗꢶ ꢬꢴꢵ,लगिञ्चि र्हा,லகி3ஞ்சி ரா:,involve,ஈடுபடு  
ꢭꢔꢶꢛ꣄ꢗꢞꢶ ꢬꢴꢵ ,ल्गिञ्चडि र्हा,லகி3ஞ்சடி3 ரா:,engage (tr.),ஈடுபடுத்து  
ꢱꢶꢣ꣄ꢤꢶ ꢲꣂ,सिद्धि हो,ஸித்3தி4 ஹோ,fulfil,ஈடேறு  
ꢒꢾꢭꢵꢪ꣄ ꢭꢵꢮ꣄,क॑लाम्लाव,கெலாம்லாவ்,coating the inner part of the vessel with lead,ஈயம்பூசு  
ꢩꣁꢙꢥꣁ ꢒꢾꢬ꣄ꢭꢿ,भोजना॑ क॑र्ले,போ4ஜனொகெர்லே,"take in, eat",உட்கொள்  
"ꢩꢶꢡ꣄ꢡꢬ꣄ ꢢꣂꢮ꣄, ꢲꣁꢔꢡ꣄ ꢲꢶꢖ꣄ꢔꢵꢜ꣄","भित्तर थोव, होगत हिङ्गाट",பி4த்தர் தோ2வ்/ ஹொக3த் ஹிங்கா3ட்,"insert, inject (medicine)",உட்செலுத்து  
ꢱꢪ꣄ꢪꢡ꣄ ꢦꣁꢥ꣄ꢣꢶ,स्म्मत पा॑न्दि,ஸம்மத் பொந்தி3,agree,உட்படு  
ꢩꢶꢡ꣄ꢡꢬ꣄ ꢡꢹꢬ꣄,भित्तर तूर,பி4த்தர் தூர்,penetrate,உட்புகு  
"ꢱꢲꢪꢡꢶ ꢲꣁꢫ꣄ꢭꢿ, ꢏꢙꢥꢵꢒ꣄ ꢏꢙꢥꣁ ꢏꢦ꣄ꢦꢶꢭꢿ",सहमति हा॑य्ले आ॑जनाक आ॑जना॑ आ॑प्पिले,ஸஹமதி ஹொய் லே / ஒஜனாக் ஒஜனொ ஒப்பிலே,make an agreement,உடன்படிக்கை செய்   
"ꢨꣁꢜ꣄ꢜꣁ ꢲꢾꢜ꣄, ꢨꣁꢜ꣄ꢜꣁ ꢱꣁꢮ꣄ꢞꢶ","बा॑ट्टा॑ हेट, बा॑ट्टा॑ सा॑व्डि",பொ3ட்டொ ஹேட்/ பொ3ட்டொ ஸொவ்டி3,undress,உடைகளை  
ꢆꢬ꣄ꢦꢡ꣄ꢡꢶ ꢒꢿꢬ꣄,उत्पत्ति केर्,உத்பத்தி கேர்,"make, create",உண்டுபண்ணு  
ꢩꢵꢡ꣄ ꢕꢵꢭ꣄,भात घाल,பா4த் கா4ல்,feed,உணவளி  
ꢃꢙ꣄ꢛꣁ ꢣꢿ,आजञो दे,ஆஜ்ஞொதே3,order,உத்தரவிடு  
"ꢦ꣄ꢬꢫꣂꢙꢥꣁ ꢦꣁꢜ꣄, ꢆꢦꢫꣂꢒ꣄ ꢲꣂ, ꢥꢸꢔꢵꢱ꣄ꢡꢶꢱꣁ ꢬꢴꢵ","प्रयोजना॑ पोट, उपयोकहो, नुगास्तिसा॑ र्हा",ப்ரயோஜனொ போட்/ உபயோக் ஹோ/ நுகா3ஸ்திஸொ ரா:,be useful,உபயோகப்படு  
ꢙꢷꢮ꣄ ꢱꣂꢜ꣄,जीव्सोट,ஜீவ்ஸோட்,Lay down life,உயிர்விடு  
"ꢙꢷꢮ꣄ꢣꢾ, ꢙꢷꢮ꣄ ꢕꢵꢭ꣄","जीव्दे, जीव घाल",ஜீவ் தே3/ ஜீவ்  கா4ல்,animate,உயிரூட்டு  
ꢨꣁꢭꢪ꣄ꢒꢿꢬ꣄,बा॑लम्केर,பொ3லம்கேர்,strengthen,உரமூட்டு  
ꢨꢵꢤ꣄ꢫꢡꣁ ꢪꢔꢶꢭꢾ,बाध्यता॑ मगिले,பா3த்4யதொ மகி3லே,to claim right,உரிமைகொண்டாடு  
ꢬꢹꢦ꣄ ꢕꢵꢭ꣄,रूप घाल,ரூப் கா4ல்,give shape,உருகொடு  
ꢪꢥꣁꢥꣁ ꢒꢾꢬ꣄ꢭꢾ,मनना॑ केर्ले,மனனொ கெர்லே,memorize,உருப்போடு  
ꢬꢸꢦ꣄ ꢪꢬ꣄ꢗꢶꢭꢿ,रूप मर्चिले,ரூப் மர்சிலே,change form,உருமாறு  
ꢱꢪ꣄ꢩꢵꢰꢠꣁ ꢒꢿꢬ꣄,सम्भाषणा॑ केर,ஸம்பா4ஷணொகேர்,converse,உரையாடு  
"ꢭꣂꢦꢸꢭꣁ ꢬꢵꢱ꣄ꢡꢶꢱꣁ ꢒꢿꢬ꣄, ꢭꣂꢦꢸꢭꣁ ꢢꣁꢮ꣄ꢭꢿ","लोपुला॑ रास्तिसा॑ केर, लोपुला॑ धा॑व्ले",லோபுலொ ரா:ஸ்திஸொ கேர்/ லோபுலொ தொ2வ்லே,include,உள்ளடக்கு  
ꢆꢡ꣄ꢱꢵꢲ꣄ ꢦꣁꢥ꣄ꢣꢶ,उत्साह पा॑न्दि,உத்ஸாஹ் பொந்தி3,Get enthusiasm,உற்சாகமடை  
ꢔꢪ꣄ꢗꢶ ꢎꢒꢶ,गम्चि ऐकि,க3ம்சிஐகி,Listen attentively,உற்றுக்கேள்
ꢓꢸꢬ꣄ꢒꢥꢶ ꢱꢵ,खुर्कनि सा,கூ2ர்கனி ஸா,gaze,உற்றுப்பார்  
ꢏꢙꢥꢵꢒ꣄ ꢏꢙꢥꣁ ꢦ꣄ꢬꢵꢪꣁꢒꢥꢶ ꢗꢭ꣄ꢭꢾ,आ॑जनाक आ॑जना॑  प्रामा॑कनि चल्ले,ஒஜனாக் ஒஜனொ ப்ராமொகனி சல்லே,Interact affectionately,உறவாடு  
